time=15969, red=91276, ir=81698
time=15979, red=91263, ir=81700
time=15989, red=91259, ir=81715
time=15999, red=91265, ir=81674
time=16009, red=91243, ir=81639
time=16019, red=91213, ir=81601
time=16029, red=91203, ir=81539
time=16055, red=91168, ir=81495
time=16059, red=91152, ir=81458
time=16069, red=91152, ir=81421
time=16079, red=91140, ir=81401
time=16089, red=91141, ir=81370
time=16099, red=91125, ir=81378
time=16109, red=91140, ir=81367
time=16119, red=91127, ir=81373
time=16129, red=91119, ir=81370
time=16139, red=91114, ir=81364
time=16149, red=91107, ir=81362
time=16159, red=91094, ir=81330
time=16169, red=91097, ir=81336
time=16179, red=91083, ir=81337
time=16189, red=91082, ir=81337
time=16199, red=91092, ir=81347
time=16209, red=91085, ir=81375
time=16219, red=91111, ir=81385
time=16229, red=91114, ir=81394
time=16238, red=91123, ir=81410
time=16248, red=91129, ir=81426
time=16258, red=91134, ir=81426
time=16268, red=91145, ir=81425
time=16278, red=91163, ir=81454
time=16288, red=91170, ir=81449
time=16298, red=91170, ir=81463
time=16308, red=91179, ir=81484
time=16318, red=91194, ir=81494
time=16328, red=91200, ir=81530
time=16338, red=91211, ir=81544
time=16348, red=91220, ir=81566
time=16358, red=91215, ir=81581
time=16368, red=91218, ir=81565
time=16378, red=91239, ir=81567
time=16388, red=91219, ir=81563
time=16398, red=91220, ir=81565
time=16408, red=91231, ir=81562
time=16418, red=91236, ir=81586
time=16428, red=91238, ir=81587
time=16438, red=91247, ir=81603
time=16448, red=91252, ir=81612
time=16458, red=91251, ir=81624
time=16468, red=91260, ir=81632
time=16478, red=91250, ir=81640
time=16488, red=91262, ir=81659
time=16498, red=91248, ir=81652
time=16508, red=91262, ir=81666
time=16518, red=91278, ir=81654
time=16528, red=91246, ir=81629
time=16538, red=91239, ir=81585
time=16548, red=91227, ir=81538
time=16558, red=91205, ir=81490
time=16568, red=91188, ir=81452
time=16578, red=91180, ir=81417
time=16588, red=91170, ir=81385
time=16598, red=91149, ir=81367
time=16608, red=91165, ir=81360
time=16618, red=91161, ir=81356
time=16628, red=91175, ir=81367
time=16638, red=91176, ir=81403
time=16648, red=91175, ir=81388
time=16658, red=91177, ir=81397
time=16668, red=91189, ir=81389
time=16678, red=91180, ir=81363
