time=1, red=19762, ir=33232
time=6, red=19783, ir=33222
time=16, red=19760, ir=33224
time=26, red=19753, ir=33230
time=36, red=19752, ir=33243
time=46, red=19750, ir=33218
time=56, red=19759, ir=33232
time=66, red=19758, ir=33235
time=76, red=19749, ir=33220
time=86, red=19743, ir=33239
time=96, red=19753, ir=33239
time=106, red=19751, ir=33231
time=116, red=19759, ir=33231
time=126, red=19757, ir=33241
time=136, red=19750, ir=33229
time=146, red=19762, ir=33224
time=156, red=19745, ir=33223
time=166, red=19754, ir=33233
time=176, red=19759, ir=33255
time=186, red=19748, ir=33225
time=196, red=19755, ir=33233
time=206, red=19757, ir=33229
time=216, red=19757, ir=33245
time=226, red=19753, ir=33227
time=236, red=19766, ir=33250
time=246, red=19757, ir=33222
time=256, red=19755, ir=33222
time=267, red=19760, ir=33235
time=277, red=19754, ir=33230
time=287, red=19764, ir=33243
time=297, red=19752, ir=33237
time=307, red=19743, ir=33231
time=317, red=96682, ir=98900
time=327, red=96728, ir=98993
time=337, red=96773, ir=99071
time=347, red=96797, ir=99154
time=357, red=96870, ir=99233
time=367, red=96894, ir=99337
time=377, red=96940, ir=99429
time=387, red=96995, ir=99533
time=397, red=97052, ir=99632
time=407, red=97093, ir=99732
time=417, red=97125, ir=99834
time=427, red=97165, ir=99896
time=437, red=97216, ir=100006
time=447, red=97264, ir=100111
time=457, red=97315, ir=100214
time=467, red=97363, ir=100334
time=477, red=97411, ir=100434
time=487, red=97479, ir=100539
time=497, red=97508, ir=100635
time=507, red=97544, ir=100736
time=517, red=97587, ir=100838
time=527, red=97655, ir=100963
time=537, red=97732, ir=101104
time=547, red=97850, ir=101248
time=557, red=98009, ir=101404
time=567, red=98116, ir=101569
time=577, red=98216, ir=101722
time=587, red=98302, ir=101859
time=597, red=98369, ir=101997
time=607, red=98407, ir=102123
time=617, red=98445, ir=102239
time=627, red=98462, ir=102329
time=637, red=98500, ir=102385
time=647, red=98518, ir=102451
time=657, red=98523, ir=102512
time=667, red=98567, ir=102575
time=677, red=98598, ir=102630
time=687, red=98628, ir=102704
time=697, red=98648, ir=102752
time=707, red=98671, ir=102798
time=717, red=98686, ir=102860
time=727, red=98725, ir=102915
time=737, red=98742, ir=102977
time=747, red=98773, ir=103038
time=757, red=98817, ir=103082
time=767, red=98833, ir=103140
time=777, red=98887, ir=103192
time=787, red=98924, ir=103251
time=797, red=98955, ir=103319
time=807, red=98989, ir=103378
time=817, red=98996, ir=103423
time=827, red=99012, ir=103503
time=837, red=99059, ir=103563
time=847, red=99081, ir=103606
time=857, red=99118, ir=103668
time=867, red=99154, ir=103735
time=877, red=99195, ir=103786
time=887, red=99230, ir=103855
time=897, red=99254, ir=103908
