time=19892, red=81559, ir=98995
time=19902, red=81563, ir=99005
time=19912, red=81556, ir=99009
time=19922, red=81551, ir=99018
time=19932, red=81561, ir=99027
time=19942, red=81561, ir=99031
time=19952, red=81577, ir=99046
time=19962, red=81566, ir=99056
time=19972, red=81574, ir=99064
time=19982, red=81568, ir=99065
time=19992, red=81550, ir=99060
time=20002, red=81558, ir=99071
time=20012, red=81556, ir=99075
time=20022, red=81552, ir=99090
time=20032, red=81574, ir=99117
time=20042, red=81572, ir=99116
time=20052, red=81576, ir=99143
time=20062, red=81590, ir=99138
HR=101, SP=86
time=20087, red=81567, ir=99139
time=20092, red=81573, ir=99140
time=20102, red=81566, ir=99121
time=20112, red=81559, ir=99150
time=20122, red=81561, ir=99149
time=20132, red=81576, ir=99160
time=20142, red=81579, ir=99173
time=20152, red=81564, ir=99165
time=20162, red=81572, ir=99191
time=20172, red=81557, ir=99180
time=20182, red=81555, ir=99172
time=20192, red=81556, ir=99163
time=20202, red=81566, ir=99190
time=20212, red=81561, ir=99189
time=20222, red=81548, ir=99179
time=20232, red=81546, ir=99159
time=20242, red=81514, ir=99167
time=20252, red=81532, ir=99173
time=20262, red=81551, ir=99190
time=20272, red=81551, ir=99190
time=20282, red=81551, ir=99176
time=20292, red=81558, ir=99174
time=20302, red=81555, ir=99161
time=20312, red=81524, ir=99137
time=20322, red=81522, ir=99119
time=20332, red=81517, ir=99072
time=20342, red=81500, ir=99047
time=20352, red=81505, ir=99024
time=20362, red=81474, ir=99006
time=20372, red=81479, ir=98964
time=20382, red=81455, ir=98935
time=20392, red=81445, ir=98903
time=20402, red=81429, ir=98861
time=20412, red=81427, ir=98848
time=20422, red=81442, ir=98820
time=20432, red=81431, ir=98793
time=20442, red=81431, ir=98773
time=20452, red=81426, ir=98745
time=20462, red=81397, ir=98725
time=20472, red=81378, ir=98676
time=20482, red=81385, ir=98659
time=20492, red=81361, ir=98641
time=20502, red=81387, ir=98629
time=20512, red=81368, ir=98603
time=20522, red=81381, ir=98589
time=20532, red=81387, ir=98574
time=20542, red=81385, ir=98583
time=20552, red=81386, ir=98552
time=20562, red=81390, ir=98548
time=20572, red=81393, ir=98545
time=20582, red=81388, ir=98541
time=20592, red=81405, ir=98555
time=20602, red=81395, ir=98551
time=20612, red=81406, ir=98543
time=20622, red=81401, ir=98562
time=20632, red=81417, ir=98563
time=20642, red=81433, ir=98591
time=20652, red=81444, ir=98597
time=20662, red=81451, ir=98591
time=20672, red=81460, ir=98610
time=20682, red=81457, ir=98619
time=20692, red=81471, ir=98624
time=20702, red=81461, ir=98639
time=20712, red=81476, ir=98637
time=20722, red=81487, ir=98649
time=20732, red=81467, ir=98644
time=20742, red=81474, ir=98657
time=20752, red=81479, ir=98672
time=20762, red=81494, ir=98682
time=20772, red=81499, ir=98673
time=20782, red=81501, ir=98693
time=20792, red=81493, ir=98697
time=20802, red=81498, ir=98700
time=20812, red=81499, ir=98708
time=20822, red=81521, ir=98718
time=20832, red=81508, ir=98724
time=20842, red=81515, ir=98746
time=20852, red=81515, ir=98744
time=20862, red=81514, ir=98725
time=20872, red=81529, ir=98733
time=20882, red=81523, ir=98733
time=20892, red=81518, ir=98733
time=20902, red=81526, ir=98758
time=20912, red=81537, ir=98771
time=20922, red=81543, ir=98763
time=20932, red=81539, ir=98787
time=20942, red=81554, ir=98794
time=20952, red=81539, ir=98783
time=20962, red=81557, ir=98787
time=20972, red=81543, ir=98772
time=20982, red=81549, ir=98768
time=20992, red=81538, ir=98740
time=21002, red=81537, ir=98749
time=21012, red=81543, ir=98752
time=21022, red=81531, ir=98752
time=21032, red=81535, ir=98766
time=21042, red=81532, ir=98783
time=21052, red=81542, ir=98809
time=21062, red=81551, ir=98804
time=21072, red=81554, ir=98807
HR=171, SP=99
time=21082, red=81540, ir=98826
time=21092, red=81554, ir=98819
time=21102, red=81551, ir=98833
time=21112, red=81550, ir=98803
time=21122, red=81549, ir=98823
time=21132, red=81544, ir=98826
time=21142, red=81545, ir=98840
time=21152, red=81551, ir=98848
time=21162, red=81549, ir=98851
time=21172, red=81531, ir=98850
time=21182, red=81533, ir=98844
time=21192, red=81538, ir=98864
time=21202, red=81535, ir=98854
time=21212, red=81548, ir=98869
time=21222, red=81536, ir=98871
time=21232, red=81545, ir=98884
time=21242, red=81542, ir=98910
time=21252, red=81556, ir=98917
time=21262, red=81557, ir=98901
time=21272, red=81534, ir=98900
time=21282, red=81549, ir=98926
time=21292, red=81555, ir=98929
time=21302, red=81570, ir=98944
time=21312, red=81556, ir=98950
time=21322, red=81565, ir=98976
time=21332, red=81580, ir=98987
time=21342, red=81559, ir=98988
time=21352, red=81570, ir=98987
time=21362, red=81557, ir=98954
time=21372, red=81540, ir=98955
time=21382, red=81534, ir=98954
time=21392, red=81523, ir=98958
time=21402, red=81544, ir=98970
time=21412, red=81540, ir=98986
time=21422, red=81549, ir=98991
time=21432, red=81570, ir=99017
time=21442, red=81568, ir=99043
time=21452, red=81572, ir=99052
time=21462, red=81574, ir=99033
time=21472, red=81563, ir=99036
time=21482, red=81552, ir=99054
time=21492, red=81569, ir=99064
time=21502, red=81583, ir=99073
time=21512, red=81584, ir=99083
time=21522, red=81584, ir=99090
time=21532, red=81584, ir=99110
time=21542, red=81573, ir=99076
time=21552, red=81544, ir=99053
time=21562, red=81522, ir=99036
time=21572, red=81522, ir=99018
time=21582, red=81523, ir=99001
time=21592, red=81521, ir=99008
time=21602, red=81514, ir=98980
time=21612, red=81512, ir=98985
time=21622, red=81504, ir=98969
time=21632, red=81513, ir=98945
time=21642, red=81477, ir=98902
time=21652, red=81483, ir=98877
time=21662, red=81448, ir=98833
time=21672, red=81451, ir=98810
time=21682, red=81434, ir=98778
time=21692, red=81435, ir=98759
time=21702, red=81437, ir=98733
time=21712, red=81436, ir=98708
