AT4T10P2 - Bandit - (7,10)
























Press any key to start conversion
time=1, red=58246, ir=58200
time=8, red=61288, ir=74504
time=18, red=61297, ir=90895
time=28, red=61293, ir=107234
time=38, red=61303, ir=111431
time=48, red=61296, ir=111445
time=58, red=61314, ir=111476
time=68, red=61310, ir=111488
time=78, red=61313, ir=111493
time=88, red=61301, ir=111486
time=98, red=61307, ir=111516
time=108, red=61299, ir=111511
time=118, red=61317, ir=111512
time=128, red=61314, ir=111528
time=138, red=61310, ir=111542
time=148, red=61305, ir=111551
time=158, red=61326, ir=111568
time=168, red=61308, ir=111568
time=178, red=61305, ir=111584
time=188, red=61309, ir=111585
time=198, red=61312, ir=111604
time=208, red=61310, ir=111619
time=218, red=61321, ir=111609
time=228, red=61315, ir=111631
time=237, red=61324, ir=111633
time=247, red=61323, ir=111642
time=257, red=61329, ir=111643
time=267, red=61325, ir=111649
time=277, red=61324, ir=111659
time=287, red=61330, ir=111683
time=297, red=61311, ir=111673
time=307, red=61321, ir=111694
time=317, red=61564, ir=111249
time=327, red=61559, ir=111262
time=337, red=61567, ir=111259
time=347, red=61575, ir=111272
time=357, red=61582, ir=111274
time=367, red=61577, ir=111274
time=377, red=61576, ir=111250
time=387, red=61590, ir=111291
time=397, red=61598, ir=111291
time=407, red=61587, ir=111298
time=417, red=61585, ir=111289
time=427, red=61582, ir=111310
time=437, red=61587, ir=111288
time=447, red=61566, ir=111299
time=457, red=61599, ir=111279
time=467, red=61585, ir=111279
time=477, red=61597, ir=111295
time=487, red=61582, ir=111289
time=497, red=61590, ir=111296
time=507, red=61585, ir=111310
time=517, red=61590, ir=111311
time=527, red=61591, ir=111330
time=537, red=61586, ir=111309
time=547, red=61605, ir=111338
time=557, red=61601, ir=111324
time=567, red=61603, ir=111356
time=577, red=61591, ir=111340
time=587, red=61602, ir=111347
time=597, red=61606, ir=111355
time=607, red=61616, ir=111366
time=617, red=61607, ir=111386
time=627, red=61606, ir=111373
time=637, red=61618, ir=111388
time=647, red=61605, ir=111383
time=657, red=61610, ir=111383
time=667, red=61604, ir=111397
time=677, red=61600, ir=111404
time=687, red=61605, ir=111402
time=697, red=61601, ir=111413
time=707, red=61605, ir=111420
time=717, red=61612, ir=111424
time=727, red=61606, ir=111451
time=737, red=61624, ir=111467
time=747, red=61623, ir=111481
time=757, red=61626, ir=111479
time=767, red=61633, ir=111495
time=777, red=61621, ir=111477
time=787, red=61628, ir=111500
time=797, red=61628, ir=111492
time=807, red=61634, ir=111489
time=817, red=61641, ir=111510
time=827, red=61626, ir=111521
time=837, red=61630, ir=111524
time=847, red=61621, ir=111526
time=857, red=61626, ir=111547
time=867, red=61636, ir=111558
time=877, red=61629, ir=111574
time=887, red=61626, ir=111576
time=897, red=61643, ir=111565
time=907, red=61648, ir=111590
time=917, red=61630, ir=111597
time=927, red=61628, ir=111592
time=937, red=61634, ir=111590
time=947, red=61638, ir=111592
time=957, red=61641, ir=111611
time=967, red=61651, ir=111618
time=977, red=61640, ir=111620
time=987, red=61622, ir=111623
time=997, red=61647, ir=111649
time=1007, red=61645, ir=111651
time=1017, red=61656, ir=111638
time=1027, red=61644, ir=111658
time=1037, red=61646, ir=111657
time=1047, red=61648, ir=111656
time=1057, red=61634, ir=111665
time=1067, red=61644, ir=111661
time=1077, red=61649, ir=111673
time=1087, red=61636, ir=111672
time=1097, red=61641, ir=111676
time=1107, red=61632, ir=111678
time=1117, red=61639, ir=111700
time=1127, red=61641, ir=111703
time=1137, red=61646, ir=111731
time=1147, red=61643, ir=111732
time=1157, red=61649, ir=111717
time=1167, red=61628, ir=111731
time=1177, red=61643, ir=111735
time=1187, red=61626, ir=111746
time=1197, red=61631, ir=111745
time=1207, red=61647, ir=111750
time=1217, red=61647, ir=111761
time=1227, red=61644, ir=111760
time=1237, red=61641, ir=111772
time=1247, red=61645, ir=111767
time=1257, red=61633, ir=111777
time=1267, red=61647, ir=111792
time=1277, red=61647, ir=111796
time=1287, red=61641, ir=111815
time=1297, red=61638, ir=111818
time=1307, red=61644, ir=111817
time=1317, red=61631, ir=111812
time=1327, red=61632, ir=111810
time=1337, red=61619, ir=111810
time=1347, red=61627, ir=111822
time=1357, red=61621, ir=111794
time=1367, red=61613, ir=111797
time=1377, red=61599, ir=111770
time=1387, red=61616, ir=111750
time=1397, red=61597, ir=111742
time=1407, red=61583, ir=111721
time=1417, red=61585, ir=111697
time=1427, red=61580, ir=111680
time=1437, red=61572, ir=111646
time=1447, red=61568, ir=111605
time=1457, red=61549, ir=111566
time=1467, red=61542, ir=111550
time=1477, red=61521, ir=111526
time=1487, red=61525, ir=111477
time=1497, red=61504, ir=111451
time=1507, red=61517, ir=111417
time=1517, red=61500, ir=111382
time=1527, red=61498, ir=111353
time=1537, red=61487, ir=111298
time=1547, red=61486, ir=111290
time=1557, red=61463, ir=111248
time=1567, red=61466, ir=111230
time=1577, red=61455, ir=111201
time=1587, red=61458, ir=111173
time=1597, red=61459, ir=111149
time=1607, red=61469, ir=111130
time=1617, red=61465, ir=111102
time=1627, red=61449, ir=111090
time=1637, red=61456, ir=111080
time=1647, red=61463, ir=111060
time=1657, red=61460, ir=111062
time=1667, red=61447, ir=111057
time=1677, red=61461, ir=111065
time=1687, red=61475, ir=111040
time=1697, red=61459, ir=111047
time=1707, red=61468, ir=111036
time=1717, red=61458, ir=111050
time=1727, red=61487, ir=111046
time=1737, red=61486, ir=111062
time=1747, red=61488, ir=111040
time=1757, red=61491, ir=111056
time=1767, red=61498, ir=111069
time=1777, red=61497, ir=111068
time=1787, red=61502, ir=111074
time=1797, red=61511, ir=111072
time=1807, red=61497, ir=111095
time=1817, red=61512, ir=111107
time=1827, red=61521, ir=111106
time=1837, red=61528, ir=111118
time=1847, red=61527, ir=111136
time=1857, red=61527, ir=111130
time=1867, red=61517, ir=111145
time=1877, red=61522, ir=111151
time=1887, red=61520, ir=111162
time=1897, red=61536, ir=111176
time=1907, red=61537, ir=111190
time=1917, red=61535, ir=111179
time=1927, red=61546, ir=111195
time=1937, red=61550, ir=111182
time=1947, red=61551, ir=111193
time=1956, red=61544, ir=111188
time=1966, red=61533, ir=111188
time=1976, red=61549, ir=111199
time=1986, red=61549, ir=111205
time=1996, red=61549, ir=111187
time=2006, red=61559, ir=111194
time=2016, red=61547, ir=111194
time=2026, red=61556, ir=111195
time=2036, red=61545, ir=111212
time=2046, red=61539, ir=111192
time=2056, red=61552, ir=111190
time=2066, red=61546, ir=111185
time=2076, red=61536, ir=111174
time=2086, red=61552, ir=111172
time=2096, red=61550, ir=111190
time=2106, red=61555, ir=111177
time=2116, red=61550, ir=111189
time=2126, red=61560, ir=111179
time=2136, red=61551, ir=111198
time=2146, red=61560, ir=111186
time=2156, red=61556, ir=111193
time=2166, red=61553, ir=111211
time=2176, red=61547, ir=111216
time=2186, red=61557, ir=111207
time=2196, red=61561, ir=111208
time=2206, red=61542, ir=111225
time=2216, red=61559, ir=111205
time=2226, red=61571, ir=111232
time=2236, red=61557, ir=111244
time=2246, red=61574, ir=111261
time=2256, red=61574, ir=111276
time=2266, red=61577, ir=111276
time=2276, red=61566, ir=111281
time=2286, red=61573, ir=111294
time=2296, red=61575, ir=111306
time=2306, red=61575, ir=111315
time=2316, red=61585, ir=111316
time=2326, red=61578, ir=111327
time=2336, red=61577, ir=111337
time=2346, red=61569, ir=111351
time=2356, red=61584, ir=111357
time=2366, red=61587, ir=111352
time=2376, red=61586, ir=111372
time=2386, red=61599, ir=111394
time=2396, red=61587, ir=111403
time=2406, red=61588, ir=111419
time=2416, red=61599, ir=111446
time=2426, red=61600, ir=111436
time=2436, red=61609, ir=111444
time=2446, red=61581, ir=111444
time=2456, red=61583, ir=111449
time=2466, red=61589, ir=111469
time=2476, red=61595, ir=111465
time=2486, red=61592, ir=111474
time=2496, red=61597, ir=111490
time=2506, red=61604, ir=111495
time=2516, red=61619, ir=111510
time=2526, red=61610, ir=111506
time=2536, red=61619, ir=111500
time=2546, red=61596, ir=111506
time=2556, red=61601, ir=111520
time=2566, red=61601, ir=111533
time=2576, red=61599, ir=111525
time=2586, red=61594, ir=111523
time=2596, red=61598, ir=111526
time=2606, red=61607, ir=111528
time=2616, red=61603, ir=111542
time=2626, red=61599, ir=111554
time=2636, red=61610, ir=111553
time=2646, red=61584, ir=111573
time=2656, red=61607, ir=111574
time=2666, red=61598, ir=111568
time=2676, red=61593, ir=111584
time=2686, red=61607, ir=111591
time=2696, red=61613, ir=111583
time=2706, red=61605, ir=111611
time=2716, red=61592, ir=111609
time=2726, red=61607, ir=111620
time=2736, red=61594, ir=111619
time=2746, red=61615, ir=111628
time=2756, red=61601, ir=111631
time=2766, red=61592, ir=111634
time=2776, red=61596, ir=111638
time=2786, red=61608, ir=111649
time=2796, red=61598, ir=111646
time=2806, red=61602, ir=111654
time=2816, red=61612, ir=111668
time=2826, red=61591, ir=111703
time=2836, red=61615, ir=111684
time=2846, red=61607, ir=111705
time=2856, red=61620, ir=111699
time=2866, red=61615, ir=111695
time=2876, red=61596, ir=111706
time=2886, red=61609, ir=111715
time=2896, red=61592, ir=111717
time=2906, red=61593, ir=111700
time=2916, red=61590, ir=111698
time=2926, red=61595, ir=111685
time=2936, red=61568, ir=111677
time=2946, red=61555, ir=111653
time=2956, red=61574, ir=111650
time=2966, red=61552, ir=111618
time=2976, red=61542, ir=111599
time=2986, red=61546, ir=111579
time=2996, red=61543, ir=111550
time=3006, red=61533, ir=111542
time=3016, red=61525, ir=111515
time=3026, red=61514, ir=111487
time=3036, red=61517, ir=111448
time=3046, red=61495, ir=111417
time=3056, red=61493, ir=111384
time=3066, red=61486, ir=111362
time=3076, red=61483, ir=111337
time=3086, red=61461, ir=111294
time=3096, red=61459, ir=111255
time=3106, red=61465, ir=111229
time=3116, red=61459, ir=111231
time=3126, red=61440, ir=111202
time=3136, red=61447, ir=111174
time=3146, red=61450, ir=111146
time=3156, red=61434, ir=111147
time=3166, red=61437, ir=111129
time=3176, red=61452, ir=111115
time=3186, red=61448, ir=111096
time=3196, red=61448, ir=111076
time=3206, red=61451, ir=111063
time=3216, red=61442, ir=111068
time=3226, red=61457, ir=111066
time=3236, red=61456, ir=111050
time=3246, red=61453, ir=111053
time=3256, red=61461, ir=111048
time=3266, red=61455, ir=111034
time=3276, red=61476, ir=111059
time=3286, red=61481, ir=111081
time=3296, red=61476, ir=111080
time=3306, red=61494, ir=111088
time=3316, red=61487, ir=111073
time=3326, red=61495, ir=111091
time=3336, red=61501, ir=111093
time=3346, red=61498, ir=111103
time=3356, red=61504, ir=111118
time=3366, red=61519, ir=111127
time=3376, red=61515, ir=111133
time=3386, red=61527, ir=111155
time=3396, red=61520, ir=111153
time=3406, red=61527, ir=111144
time=3416, red=61526, ir=111163
time=3426, red=61536, ir=111187
time=3436, red=61532, ir=111179
time=3446, red=61547, ir=111187
time=3456, red=61543, ir=111198
time=3466, red=61546, ir=111215
time=3476, red=61548, ir=111208
time=3486, red=61550, ir=111228
time=3496, red=61548, ir=111227
time=3506, red=61560, ir=111229
time=3516, red=61568, ir=111243
time=3526, red=61567, ir=111254
time=3536, red=61571, ir=111269
time=3546, red=61570, ir=111252
time=3556, red=61559, ir=111244
time=3566, red=61564, ir=111262
time=3576, red=61571, ir=111253
time=3586, red=61552, ir=111245
time=3596, red=61559, ir=111249
time=3606, red=61569, ir=111260
time=3616, red=61564, ir=111261
time=3626, red=61572, ir=111259
time=3636, red=61574, ir=111259
time=3646, red=61560, ir=111261
time=3656, red=61575, ir=111262
time=3666, red=61564, ir=111273
time=3676, red=61570, ir=111276
time=3686, red=61571, ir=111267
time=3696, red=61581, ir=111265
time=3706, red=61568, ir=111301
time=3716, red=61569, ir=111294
time=3726, red=61575, ir=111313
time=3736, red=61576, ir=111322
time=3746, red=61587, ir=111323
time=3756, red=61592, ir=111321
time=3766, red=61573, ir=111340
time=3776, red=61602, ir=111360
time=3786, red=61597, ir=111372
time=3796, red=61598, ir=111381
time=3806, red=61607, ir=111376
time=3816, red=61609, ir=111395
time=3826, red=61611, ir=111406
time=3835, red=61615, ir=111423
time=3845, red=61609, ir=111425
time=3855, red=61622, ir=111445
time=3865, red=61618, ir=111456
time=3875, red=61607, ir=111460
time=3885, red=61607, ir=111482
time=3895, red=61631, ir=111485
time=3905, red=61621, ir=111491
time=3915, red=61633, ir=111523
time=3925, red=61625, ir=111513
time=3935, red=61629, ir=111522
time=3945, red=61623, ir=111537
time=3955, red=61632, ir=111551
time=3965, red=61615, ir=111567
time=3975, red=61615, ir=111571
time=3985, red=61639, ir=111573
time=3995, red=61652, ir=111561
time=4005, red=61639, ir=111588
time=4015, red=61627, ir=111596
time=4025, red=61638, ir=111615
time=4035, red=61631, ir=111626
time=4045, red=61646, ir=111621
time=4055, red=61643, ir=111639
time=4065, red=61648, ir=111636
time=4075, red=61649, ir=111651
time=4085, red=61630, ir=111662
time=4095, red=61629, ir=111648
time=4105, red=61645, ir=111669
time=4115, red=61637, ir=111670
time=4125, red=61654, ir=111696
time=4135, red=61649, ir=111687
time=4145, red=61652, ir=111710
time=4155, red=61641, ir=111725
time=4165, red=61651, ir=111727
time=4175, red=61657, ir=111747
time=4185, red=61655, ir=111774
time=4195, red=61652, ir=111765
time=4205, red=61650, ir=111782
time=4215, red=61638, ir=111772
time=4225, red=61659, ir=111779
time=4235, red=61657, ir=111787
time=4245, red=61657, ir=111802
time=4255, red=61659, ir=111806
time=4265, red=61654, ir=111822
time=4275, red=61653, ir=111828
time=4285, red=61667, ir=111843
time=4295, red=61656, ir=111831
time=4305, red=61655, ir=111850
time=4315, red=61687, ir=111870
time=4325, red=61647, ir=111882
time=4335, red=61648, ir=111894
time=4345, red=61660, ir=111888
time=4355, red=61662, ir=111890
time=4365, red=61662, ir=111899
time=4375, red=61652, ir=111911
time=4385, red=61660, ir=111911
time=4395, red=61647, ir=111919
time=4405, red=61660, ir=111939
time=4415, red=61654, ir=111930
time=4425, red=61662, ir=111937
time=4435, red=61657, ir=111941
time=4445, red=61672, ir=111965
time=4455, red=61659, ir=111964
time=4465, red=61662, ir=111969
time=4475, red=61656, ir=111978
time=4485, red=61655, ir=111987
time=4495, red=61658, ir=111985
time=4505, red=61657, ir=111995
time=4515, red=61652, ir=111973
time=4525, red=61656, ir=111989
time=4535, red=61647, ir=111970
time=4545, red=61635, ir=111952
time=4555, red=61643, ir=111940
time=4565, red=61635, ir=111937
time=4575, red=61613, ir=111920
time=4585, red=61610, ir=111898
time=4595, red=61601, ir=111891
time=4605, red=61601, ir=111848
time=4615, red=61606, ir=111841
time=4625, red=61574, ir=111807
time=4635, red=61578, ir=111778
time=4645, red=61573, ir=111753
time=4655, red=61563, ir=111741
time=4665, red=61566, ir=111710
time=4675, red=61558, ir=111692
time=4685, red=61550, ir=111645
time=4695, red=61546, ir=111626
time=4705, red=61544, ir=111611
time=4715, red=61542, ir=111584
time=4725, red=61543, ir=111575
time=4735, red=61533, ir=111554
time=4745, red=61533, ir=111542
time=4755, red=61538, ir=111517
time=4765, red=61529, ir=111513
time=4775, red=61516, ir=111496
time=4785, red=61508, ir=111480
time=4795, red=61516, ir=111473
time=4805, red=61530, ir=111483
time=4815, red=61523, ir=111486
time=4825, red=61526, ir=111468
time=4835, red=61519, ir=111478
time=4845, red=61519, ir=111463
time=4855, red=61528, ir=111458
time=4865, red=61535, ir=111472
time=4875, red=61531, ir=111454
time=4885, red=61552, ir=111459
time=4895, red=61553, ir=111471
time=4905, red=61552, ir=111491
time=4915, red=61558, ir=111502
time=4925, red=61561, ir=111498
time=4935, red=61559, ir=111510
time=4945, red=61583, ir=111522
time=4955, red=61570, ir=111524
time=4965, red=61571, ir=111534
time=4975, red=61568, ir=111567
time=4985, red=61571, ir=111574
time=4995, red=61581, ir=111588
time=5005, red=61586, ir=111598
time=5015, red=61591, ir=111584
time=5025, red=61597, ir=111612
time=5035, red=61583, ir=111618
time=5045, red=61598, ir=111644
time=5055, red=61611, ir=111646
time=5065, red=61614, ir=111648
time=5075, red=61618, ir=111665
time=5085, red=61612, ir=111671
time=5095, red=61619, ir=111672
time=5105, red=61621, ir=111684
time=5115, red=61606, ir=111666
time=5125, red=61615, ir=111674
time=5135, red=61612, ir=111688
time=5145, red=61617, ir=111693
time=5155, red=61622, ir=111673
time=5165, red=61626, ir=111695
time=5175, red=61628, ir=111684
time=5185, red=61618, ir=111665
time=5195, red=61615, ir=111681
time=5205, red=61612, ir=111669
time=5215, red=61613, ir=111681
time=5225, red=61621, ir=111687
time=5235, red=61623, ir=111689
time=5245, red=61612, ir=111689
time=5255, red=61609, ir=111695
time=5265, red=61622, ir=111683
time=5275, red=61607, ir=111692
time=5285, red=61619, ir=111685
time=5295, red=61628, ir=111710
time=5305, red=61629, ir=111711
time=5315, red=61624, ir=111705
time=5325, red=61628, ir=111726
time=5335, red=61635, ir=111719
time=5345, red=61614, ir=111721
time=5355, red=61623, ir=111740
time=5365, red=61628, ir=111740
time=5375, red=61645, ir=111747
time=5385, red=61639, ir=111761
time=5395, red=61646, ir=111752
time=5405, red=61622, ir=111767
time=5415, red=61650, ir=111785
time=5425, red=61642, ir=111784
time=5435, red=61633, ir=111805
time=5445, red=61636, ir=111811
time=5455, red=61653, ir=111806
time=5465, red=61643, ir=111788
time=5475, red=61623, ir=111781
time=5485, red=61615, ir=111771
time=5495, red=61613, ir=111748
time=5505, red=61609, ir=111772
time=5515, red=61610, ir=111793
time=5525, red=61623, ir=111801
time=5535, red=61621, ir=111827
time=5545, red=61629, ir=111837
time=5555, red=61631, ir=111869
time=5565, red=61634, ir=111871
time=5575, red=61652, ir=111885
time=5585, red=61639, ir=111894
time=5595, red=61654, ir=111899
time=5605, red=61647, ir=111919
time=5615, red=61646, ir=111924
time=5625, red=61662, ir=111919
time=5635, red=61658, ir=111935
time=5645, red=61650, ir=111938
time=5655, red=61657, ir=111950
time=5665, red=61656, ir=111957
time=5675, red=61658, ir=111972
time=5685, red=61655, ir=111983
time=5695, red=61657, ir=111972
time=5705, red=61652, ir=111983
time=5715, red=61677, ir=111985
time=5725, red=61658, ir=112009
time=5735, red=61651, ir=111999
time=5745, red=61666, ir=112003
time=5755, red=61667, ir=112023
time=5765, red=61669, ir=112029
time=5775, red=61669, ir=112037
time=5785, red=61662, ir=112044
time=5795, red=61661, ir=112031
time=5805, red=61664, ir=112040
time=5815, red=61669, ir=112051
time=5825, red=61651, ir=112059
time=5835, red=61659, ir=112085
time=5845, red=61659, ir=112073
time=5855, red=61649, ir=112079
time=5865, red=61647, ir=112094
time=5875, red=61665, ir=112081
time=5885, red=61649, ir=112119
time=5895, red=61661, ir=112113
time=5905, red=61661, ir=112121
time=5915, red=61659, ir=112116
time=5924, red=61658, ir=112131
time=5934, red=61670, ir=112143
time=5944, red=61651, ir=112128
time=5954, red=61658, ir=112135
time=5964, red=61666, ir=112154
time=5974, red=61675, ir=112160
time=5984, red=61672, ir=112180
HR=60, SP=87
time=6009, red=61675, ir=112176
time=6014, red=61668, ir=112186
time=6024, red=61665, ir=112180
time=6034, red=61665, ir=112199
time=6044, red=61669, ir=112207
time=6054, red=61680, ir=112227
time=6064, red=61669, ir=112235
time=6074, red=61677, ir=112242
time=6084, red=61685, ir=112253
time=6094, red=61666, ir=112287
time=6104, red=61664, ir=112275
time=6114, red=61666, ir=112259
time=6124, red=61673, ir=112260
time=6134, red=61657, ir=112259
time=6144, red=61663, ir=112261
time=6154, red=61660, ir=112257
time=6164, red=61655, ir=112232
time=6174, red=61666, ir=112235
time=6184, red=61637, ir=112202
time=6194, red=61630, ir=112189
time=6204, red=61643, ir=112176
time=6214, red=61630, ir=112151
time=6224, red=61612, ir=112123
time=6234, red=61608, ir=112085
time=6244, red=61598, ir=112064
time=6254, red=61593, ir=112017
time=6264, red=61579, ir=112003
time=6274, red=61555, ir=111972
time=6284, red=61558, ir=111955
time=6294, red=61551, ir=111918
time=6304, red=61547, ir=111887
time=6314, red=61554, ir=111873
time=6324, red=61516, ir=111793
time=6334, red=61505, ir=111764
time=6344, red=61503, ir=111719
time=6354, red=61494, ir=111694
time=6364, red=61495, ir=111659
time=6374, red=61475, ir=111624
time=6384, red=61478, ir=111620
time=6394, red=61461, ir=111607
time=6404, red=61484, ir=111599
time=6414, red=61481, ir=111581
time=6424, red=61481, ir=111572
time=6434, red=61480, ir=111557
time=6444, red=61459, ir=111544
time=6454, red=61483, ir=111519
time=6464, red=61471, ir=111517
time=6474, red=61468, ir=111516
time=6484, red=61473, ir=111509
time=6494, red=61458, ir=111497
time=6504, red=61474, ir=111496
time=6514, red=61489, ir=111484
time=6524, red=61471, ir=111497
time=6534, red=61487, ir=111499
time=6544, red=61492, ir=111506
time=6554, red=61485, ir=111516
time=6564, red=61499, ir=111508
time=6574, red=61502, ir=111536
time=6584, red=61514, ir=111542
time=6594, red=61507, ir=111539
time=6604, red=61499, ir=111551
time=6614, red=61498, ir=111563
time=6624, red=61520, ir=111548
time=6634, red=61518, ir=111554
time=6644, red=61522, ir=111568
time=6654, red=61521, ir=111574
time=6664, red=61532, ir=111564
time=6674, red=61525, ir=111581
time=6684, red=61534, ir=111600
time=6694, red=61534, ir=111584
time=6704, red=61520, ir=111604
time=6714, red=61534, ir=111607
time=6724, red=61535, ir=111608
time=6734, red=61559, ir=111615
time=6744, red=61547, ir=111619
time=6754, red=61534, ir=111601
time=6764, red=61550, ir=111612
time=6774, red=61532, ir=111608
time=6784, red=61529, ir=111610
time=6794, red=61537, ir=111600
time=6804, red=61534, ir=111598
time=6814, red=61525, ir=111593
time=6824, red=61538, ir=111603
time=6834, red=61535, ir=111591
time=6844, red=61539, ir=111597
time=6854, red=61544, ir=111599
time=6864, red=61553, ir=111601
time=6874, red=61548, ir=111606
time=6884, red=61533, ir=111599
time=6894, red=61547, ir=111600
time=6904, red=61549, ir=111619
time=6914, red=61540, ir=111623
time=6924, red=61541, ir=111627
time=6934, red=61555, ir=111626
time=6944, red=61543, ir=111615
time=6954, red=61554, ir=111612
time=6964, red=61546, ir=111619
time=6974, red=61552, ir=111626
time=6984, red=61545, ir=111636
time=6994, red=61551, ir=111627
HR=74, SP=87
time=7004, red=61542, ir=111630
time=7014, red=61544, ir=111640
time=7024, red=61564, ir=111657
time=7034, red=61559, ir=111653
time=7044, red=61560, ir=111654
time=7054, red=61572, ir=111655
time=7064, red=61564, ir=111658
time=7074, red=61548, ir=111659
time=7084, red=61571, ir=111689
time=7094, red=61556, ir=111700
time=7104, red=61565, ir=111708
time=7114, red=61588, ir=111701
time=7124, red=61569, ir=111713
time=7134, red=61563, ir=111745
time=7144, red=61571, ir=111745
time=7154, red=61573, ir=111735
time=7164, red=61592, ir=111754
time=7174, red=61588, ir=111759
time=7184, red=61585, ir=111782
time=7194, red=61573, ir=111760
time=7204, red=61579, ir=111774
time=7214, red=61573, ir=111798
time=7224, red=61578, ir=111796
time=7234, red=61566, ir=111804
time=7244, red=61584, ir=111806
time=7254, red=61570, ir=111825
time=7264, red=61586, ir=111816
time=7274, red=61592, ir=111833
time=7284, red=61577, ir=111816
time=7294, red=61583, ir=111851
time=7304, red=61573, ir=111877
time=7314, red=61585, ir=111846
time=7324, red=61583, ir=111861
time=7334, red=61572, ir=111869
time=7344, red=61577, ir=111862
time=7354, red=61596, ir=111876
time=7364, red=61577, ir=111893
time=7374, red=61588, ir=111879
time=7384, red=61573, ir=111884
time=7394, red=61593, ir=111890
time=7404, red=61591, ir=111893
time=7414, red=61595, ir=111898
time=7424, red=61581, ir=111889
time=7434, red=61592, ir=111905
time=7444, red=61592, ir=111903
time=7454, red=61584, ir=111895
time=7464, red=61572, ir=111870
time=7474, red=61584, ir=111871
time=7484, red=61560, ir=111880
time=7494, red=61558, ir=111860
time=7504, red=61563, ir=111876
time=7514, red=61559, ir=111862
time=7524, red=61556, ir=111865
time=7534, red=61557, ir=111871
time=7544, red=61555, ir=111874
time=7554, red=61554, ir=111860
time=7564, red=61563, ir=111885
time=7574, red=61546, ir=111876
time=7584, red=61552, ir=111883
time=7594, red=61549, ir=111867
time=7604, red=61553, ir=111886
time=7614, red=61537, ir=111883
time=7624, red=61546, ir=111901
time=7634, red=61546, ir=111910
time=7644, red=61547, ir=111917
time=7654, red=61556, ir=111908
time=7664, red=61546, ir=111901
time=7674, red=61538, ir=111927
time=7684, red=61546, ir=111908
time=7694, red=61533, ir=111916
time=7704, red=61551, ir=111918
time=7714, red=61544, ir=111912
time=7724, red=61533, ir=111919
time=7734, red=61515, ir=111899
time=7744, red=61533, ir=111891
time=7754, red=61543, ir=111884
time=7764, red=61536, ir=111871
time=7774, red=61535, ir=111848
time=7784, red=61533, ir=111821
time=7794, red=61512, ir=111817
time=7804, red=61497, ir=111794
time=7814, red=61485, ir=111762
time=7824, red=61486, ir=111754
time=7834, red=61476, ir=111734
time=7844, red=61473, ir=111722
time=7854, red=61475, ir=111678
time=7864, red=61459, ir=111639
time=7874, red=61464, ir=111617
time=7883, red=61437, ir=111578
time=7893, red=61447, ir=111552
