AT4T11P2 - Bandit - (10,7)
























Press any key to start conversion
























Press any key to start conversion
time=1, red=58251, ir=58258
time=7, red=74566, ir=74470
time=17, red=90895, ir=76704
time=27, red=91910, ir=76700
time=37, red=91916, ir=76686
time=47, red=91922, ir=76691
time=57, red=91922, ir=76697
time=67, red=91907, ir=76698
time=77, red=91918, ir=76692
time=87, red=91921, ir=76694
time=97, red=91934, ir=76692
time=107, red=91931, ir=76684
time=117, red=91942, ir=76696
time=127, red=91944, ir=76684
time=137, red=91937, ir=76660
time=147, red=91938, ir=76656
time=157, red=91934, ir=76643
time=167, red=91935, ir=76645
time=177, red=91933, ir=76646
time=187, red=91941, ir=76650
time=197, red=91959, ir=76673
time=207, red=91968, ir=76663
time=217, red=91972, ir=76673
time=227, red=91964, ir=76682
time=237, red=91978, ir=76661
time=247, red=91982, ir=76678
time=257, red=91982, ir=76683
time=267, red=91987, ir=76691
time=277, red=91992, ir=76681
time=287, red=91995, ir=76694
time=297, red=92013, ir=76713
time=307, red=92010, ir=76712
time=317, red=92807, ir=76693
time=327, red=92809, ir=76696
time=337, red=92816, ir=76727
time=347, red=92820, ir=76746
time=357, red=92822, ir=76761
time=367, red=92846, ir=76769
time=377, red=92843, ir=76781
time=387, red=92836, ir=76798
time=397, red=92841, ir=76814
time=407, red=92850, ir=76820
time=417, red=92838, ir=76814
time=427, red=92841, ir=76793
time=437, red=92831, ir=76816
time=447, red=92841, ir=76826
time=457, red=92868, ir=76844
time=467, red=92863, ir=76849
time=477, red=92870, ir=76857
time=487, red=92847, ir=76842
time=497, red=92859, ir=76852
time=507, red=92854, ir=76863
time=517, red=92881, ir=76881
time=527, red=92868, ir=76884
time=537, red=92862, ir=76886
time=547, red=92873, ir=76891
time=557, red=92866, ir=76908
time=567, red=92853, ir=76883
time=577, red=92861, ir=76902
time=587, red=92871, ir=76911
time=597, red=92881, ir=76924
time=607, red=92875, ir=76930
time=617, red=92882, ir=76936
time=627, red=92888, ir=76956
time=637, red=92904, ir=76971
time=647, red=92887, ir=76973
time=657, red=92884, ir=76973
time=667, red=92884, ir=76988
time=677, red=92888, ir=76978
time=687, red=92888, ir=76981
time=697, red=92892, ir=76966
time=707, red=92869, ir=76993
time=717, red=92889, ir=76987
time=727, red=92873, ir=76993
time=737, red=92871, ir=76986
time=746, red=92866, ir=76979
time=756, red=92862, ir=77006
time=766, red=92864, ir=76999
time=776, red=92854, ir=76993
time=786, red=92868, ir=76989
time=796, red=92852, ir=76998
time=806, red=92865, ir=76999
time=816, red=92856, ir=77024
time=826, red=92851, ir=77018
time=836, red=92852, ir=77021
time=846, red=92845, ir=77016
time=856, red=92833, ir=77005
time=866, red=92832, ir=76984
time=876, red=92819, ir=76964
time=886, red=92804, ir=76961
time=896, red=92803, ir=76944
time=906, red=92791, ir=76928
time=916, red=92772, ir=76930
time=926, red=92777, ir=76920
time=936, red=92743, ir=76890
time=946, red=92760, ir=76899
time=956, red=92739, ir=76886
time=966, red=92727, ir=76856
time=976, red=92698, ir=76832
time=986, red=92698, ir=76812
time=996, red=92682, ir=76790
time=1006, red=92685, ir=76781
time=1016, red=92667, ir=76780
time=1026, red=92677, ir=76770
time=1036, red=92674, ir=76769
time=1046, red=92667, ir=76751
time=1056, red=92669, ir=76755
time=1066, red=92668, ir=76741
time=1076, red=92663, ir=76730
time=1086, red=92658, ir=76708
time=1096, red=92646, ir=76698
time=1106, red=92634, ir=76675
time=1116, red=92638, ir=76679
time=1126, red=92654, ir=76690
time=1136, red=92646, ir=76680
time=1146, red=92651, ir=76690
time=1156, red=92656, ir=76678
time=1166, red=92680, ir=76708
time=1176, red=92684, ir=76715
time=1186, red=92680, ir=76712
time=1196, red=92694, ir=76731
time=1206, red=92698, ir=76731
time=1216, red=92698, ir=76737
time=1226, red=92720, ir=76763
time=1236, red=92719, ir=76772
time=1246, red=92722, ir=76772
time=1256, red=92734, ir=76776
time=1266, red=92721, ir=76768
time=1276, red=92734, ir=76791
time=1286, red=92752, ir=76798
time=1296, red=92766, ir=76830
time=1306, red=92779, ir=76825
time=1316, red=92779, ir=76832
time=1326, red=92789, ir=76840
time=1336, red=92782, ir=76846
time=1346, red=92782, ir=76851
time=1356, red=92791, ir=76856
time=1366, red=92791, ir=76850
time=1376, red=92789, ir=76829
time=1386, red=92791, ir=76855
time=1396, red=92802, ir=76873
time=1406, red=92772, ir=76859
time=1416, red=92805, ir=76872
time=1426, red=92739, ir=76844
time=1436, red=92823, ir=76887
time=1446, red=92824, ir=76881
time=1456, red=90092, ir=75828
time=1466, red=86727, ir=75399
time=1476, red=85701, ir=73688
time=1486, red=85892, ir=75436
time=1496, red=89771, ir=75736
time=1506, red=92146, ir=76655
time=1516, red=92693, ir=76824
time=1526, red=92668, ir=76787
time=1536, red=92676, ir=76795
time=1546, red=92684, ir=76758
time=1556, red=92704, ir=76799
time=1566, red=92258, ir=76512
time=1576, red=90515, ir=72101
time=1586, red=91809, ir=75670
time=1596, red=92236, ir=76592
time=1606, red=92290, ir=76580
time=1616, red=92285, ir=76584
time=1626, red=92336, ir=76643
time=1636, red=92385, ir=76616
time=1646, red=90308, ir=76196
time=1656, red=49152, ir=32768
