AT4T14P2 - Lakota - (7,10)
























Press any key to start conversion
























Press any key to start conversion
time=1, red=8, ir=7
time=8, red=0, ir=7
time=18, red=9, ir=10
time=28, red=4, ir=1
time=38, red=11, ir=0
time=48, red=3, ir=8
time=58, red=4, ir=1
time=68, red=1, ir=0
time=78, red=0, ir=0
time=88, red=6, ir=3
time=98, red=6, ir=0
time=108, red=6, ir=3
time=118, red=2, ir=0
time=128, red=3, ir=0
time=138, red=12, ir=9
time=148, red=3, ir=0
time=158, red=16, ir=0
time=168, red=2, ir=7
time=178, red=17, ir=0
time=188, red=0, ir=13
time=198, red=7, ir=17
time=208, red=9, ir=0
time=218, red=10, ir=10
time=228, red=0, ir=0
time=238, red=2, ir=9
time=248, red=1, ir=8
time=258, red=10, ir=8
time=268, red=0, ir=17
time=278, red=4, ir=0
time=288, red=0, ir=5
time=298, red=0, ir=0
time=308, red=1, ir=5
time=318, red=0, ir=9
time=328, red=0, ir=1
time=338, red=13, ir=9
time=348, red=1, ir=0
time=358, red=1, ir=2
time=368, red=3, ir=9
time=378, red=2, ir=0
time=388, red=4, ir=7
time=398, red=0, ir=6
time=408, red=0, ir=2
time=418, red=0, ir=10
time=428, red=1, ir=0
time=438, red=2, ir=12
time=448, red=7, ir=18
time=458, red=10, ir=12
time=468, red=6, ir=0
time=478, red=7, ir=7
time=488, red=9, ir=0
time=498, red=0, ir=0
time=508, red=4, ir=10
time=518, red=12, ir=7
time=528, red=23, ir=6
time=538, red=0, ir=7
time=548, red=9, ir=0
time=558, red=0, ir=9
time=568, red=0, ir=0
time=578, red=9, ir=4
time=588, red=3, ir=18
time=598, red=7, ir=2
time=608, red=10, ir=5
time=618, red=2, ir=8
time=628, red=0, ir=0
time=638, red=7, ir=3
time=648, red=11, ir=5
time=658, red=2, ir=13
time=668, red=0, ir=14
time=678, red=10, ir=8
time=688, red=15, ir=0
time=698, red=0, ir=4
time=708, red=8, ir=19
time=718, red=10, ir=14
time=728, red=5, ir=0
time=738, red=7, ir=15
time=748, red=4, ir=0
time=758, red=1, ir=0
time=768, red=7, ir=9
time=778, red=5, ir=3
time=788, red=1, ir=0
time=798, red=0, ir=7
time=808, red=10, ir=0
time=818, red=1, ir=2
time=828, red=1, ir=0
time=838, red=4, ir=7
time=848, red=8, ir=9
time=858, red=3, ir=0
time=868, red=2, ir=2
time=878, red=2, ir=9
time=888, red=6, ir=10
time=898, red=2, ir=0
time=908, red=1, ir=0
time=918, red=2, ir=0
time=928, red=6, ir=8
time=938, red=0, ir=5
time=948, red=10, ir=10
time=958, red=8, ir=10
time=968, red=10, ir=2
time=978, red=1, ir=6
time=988, red=8, ir=8
time=998, red=2, ir=11
time=1008, red=0, ir=2
time=1018, red=6, ir=11
time=1028, red=12, ir=13
time=1038, red=5, ir=8
time=1048, red=11, ir=0
time=1058, red=5, ir=5
time=1068, red=1, ir=8
time=1078, red=2, ir=0
time=1088, red=15, ir=6
time=1098, red=5, ir=8
time=1108, red=1, ir=6
time=1118, red=2, ir=4
time=1128, red=4, ir=0
time=1138, red=7, ir=11
time=1148, red=8, ir=6
time=1158, red=18, ir=8
time=1168, red=0, ir=0
time=1178, red=0, ir=6
time=1188, red=3, ir=10
time=1198, red=3, ir=16
time=1208, red=1, ir=15
