AT4T15P2 - Pris(not Chris) - (10,7)
























Press any key to start conversion
























Press any key to start conversion
time=1, red=58259, ir=58159
time=10, red=74579, ir=74573
time=20, red=88653, ir=80986
time=30, red=88234, ir=80991
time=40, red=88229, ir=80976
time=50, red=88211, ir=80976
time=60, red=88218, ir=80962
time=70, red=88217, ir=80992
time=80, red=88215, ir=80970
time=90, red=88217, ir=80994
time=100, red=88228, ir=80995
time=110, red=88218, ir=80995
time=120, red=88210, ir=81003
time=130, red=88231, ir=81011
time=140, red=88228, ir=81014
time=150, red=88225, ir=81030
time=160, red=88248, ir=81031
time=170, red=88251, ir=81054
time=180, red=88243, ir=81061
time=190, red=88239, ir=81050
time=200, red=88234, ir=81039
time=210, red=88233, ir=81028
time=220, red=88225, ir=81022
time=230, red=88216, ir=81018
time=240, red=88227, ir=81008
time=250, red=88206, ir=81026
time=260, red=88216, ir=81030
time=270, red=88214, ir=81036
time=280, red=88220, ir=81040
time=290, red=88211, ir=81037
time=300, red=88206, ir=81066
time=310, red=88227, ir=81066
time=320, red=88020, ir=80777
time=330, red=88020, ir=80785
time=340, red=88016, ir=80779
time=350, red=88021, ir=80775
time=360, red=87994, ir=80777
time=370, red=87983, ir=80761
time=380, red=88001, ir=80756
time=390, red=88014, ir=80753
time=400, red=87973, ir=80725
time=410, red=87971, ir=80738
time=420, red=87980, ir=80729
time=430, red=87976, ir=80723
time=440, red=87976, ir=80716
time=450, red=87967, ir=80745
time=460, red=87963, ir=80709
time=470, red=87962, ir=80729
time=480, red=87968, ir=80744
time=490, red=87977, ir=80743
time=500, red=87963, ir=80748
time=510, red=87968, ir=80737
time=520, red=87967, ir=80757
time=530, red=87965, ir=80753
time=540, red=87971, ir=80752
time=550, red=87970, ir=80769
time=560, red=87963, ir=80754
time=570, red=87962, ir=80756
time=580, red=87949, ir=80754
time=590, red=87942, ir=80763
time=600, red=87964, ir=80763
time=610, red=87953, ir=80768
time=620, red=87954, ir=80754
time=630, red=87951, ir=80769
time=640, red=87962, ir=80787
time=650, red=87965, ir=80785
time=660, red=87960, ir=80777
time=670, red=87967, ir=80802
time=680, red=87961, ir=80800
time=690, red=87977, ir=80819
time=700, red=87966, ir=80818
time=710, red=87965, ir=80807
time=720, red=87966, ir=80826
time=730, red=87977, ir=80828
time=740, red=87968, ir=80834
time=750, red=87980, ir=80839
time=760, red=87978, ir=80825
time=770, red=87973, ir=80827
time=780, red=87962, ir=80837
time=790, red=87963, ir=80825
time=800, red=87955, ir=80831
time=810, red=87955, ir=80827
time=820, red=87949, ir=80826
time=830, red=87943, ir=80834
time=840, red=87954, ir=80838
time=850, red=87941, ir=80865
time=860, red=87963, ir=80870
time=870, red=87972, ir=80890
time=880, red=87973, ir=80903
time=890, red=87976, ir=80898
time=900, red=87976, ir=80916
time=910, red=87978, ir=80916
time=920, red=87964, ir=80925
time=930, red=87976, ir=80910
time=940, red=87962, ir=80916
time=950, red=87949, ir=80905
time=960, red=87954, ir=80906
time=970, red=87960, ir=80912
time=980, red=87952, ir=80900
time=990, red=87942, ir=80918
time=1000, red=87952, ir=80922
time=1010, red=87955, ir=80928
time=1020, red=87947, ir=80916
time=1030, red=87947, ir=80923
time=1040, red=87936, ir=80906
time=1050, red=87935, ir=80923
time=1060, red=87954, ir=80921
time=1070, red=87945, ir=80911
time=1080, red=87936, ir=80912
time=1089, red=87922, ir=80907
time=1099, red=87916, ir=80897
time=1109, red=87903, ir=80893
time=1119, red=87905, ir=80869
time=1129, red=87889, ir=80890
time=1139, red=87879, ir=80877
time=1149, red=87882, ir=80875
time=1159, red=87888, ir=80879
time=1169, red=87868, ir=80884
time=1179, red=87864, ir=80858
time=1189, red=87857, ir=80845
time=1199, red=87874, ir=80847
time=1209, red=87864, ir=80859
time=1219, red=87854, ir=80842
time=1229, red=87839, ir=80816
time=1239, red=87840, ir=80814
time=1249, red=87828, ir=80804
time=1259, red=87842, ir=80812
time=1269, red=87852, ir=80809
time=1279, red=87827, ir=80796
time=1289, red=87827, ir=80783
time=1299, red=87827, ir=80771
time=1309, red=87823, ir=80762
time=1319, red=87807, ir=80764
time=1329, red=87805, ir=80745
time=1339, red=87808, ir=80744
time=1349, red=87807, ir=80724
time=1359, red=87792, ir=80733
time=1369, red=87802, ir=80719
time=1379, red=87813, ir=80729
time=1389, red=87819, ir=80732
time=1399, red=87827, ir=80733
time=1409, red=87826, ir=80718
time=1419, red=87816, ir=80719
time=1429, red=87816, ir=80717
time=1439, red=87825, ir=80697
time=1449, red=87832, ir=80711
time=1459, red=87841, ir=80729
time=1469, red=87842, ir=80755
time=1479, red=87835, ir=80731
time=1489, red=87857, ir=80758
time=1499, red=87863, ir=80758
time=1509, red=87860, ir=80761
time=1519, red=87874, ir=80759
time=1529, red=87867, ir=80743
time=1539, red=87873, ir=80757
time=1549, red=87886, ir=80772
time=1559, red=87898, ir=80776
time=1569, red=87893, ir=80766
time=1579, red=87899, ir=80777
time=1589, red=87893, ir=80795
time=1599, red=87891, ir=80788
time=1609, red=87902, ir=80781
time=1619, red=87899, ir=80788
time=1629, red=87909, ir=80799
time=1639, red=87916, ir=80799
time=1649, red=87935, ir=80799
time=1659, red=87927, ir=80809
time=1669, red=87919, ir=80798
time=1679, red=87917, ir=80805
time=1689, red=87927, ir=80808
time=1699, red=87924, ir=80798
time=1709, red=87920, ir=80802
time=1719, red=87924, ir=80814
time=1729, red=87923, ir=80816
time=1739, red=87930, ir=80812
time=1749, red=87931, ir=80806
time=1759, red=87931, ir=80813
time=1769, red=87946, ir=80803
time=1779, red=87932, ir=80809
time=1789, red=87940, ir=80842
time=1799, red=87932, ir=80834
time=1809, red=87934, ir=80835
time=1819, red=87949, ir=80826
time=1829, red=87955, ir=80852
time=1839, red=87935, ir=80852
time=1849, red=87951, ir=80854
time=1859, red=87940, ir=80851
time=1869, red=87960, ir=80855
time=1879, red=87961, ir=80858
time=1889, red=87943, ir=80857
time=1899, red=87950, ir=80868
time=1909, red=87957, ir=80872
time=1919, red=87968, ir=80880
time=1929, red=87971, ir=80877
time=1939, red=87971, ir=80866
time=1949, red=87970, ir=80878
time=1959, red=87949, ir=80882
time=1969, red=87966, ir=80900
time=1979, red=87972, ir=80882
time=1989, red=87973, ir=80879
time=1999, red=87966, ir=80901
time=2009, red=87987, ir=80923
time=2019, red=87986, ir=80906
time=2029, red=87976, ir=80920
time=2039, red=87976, ir=80914
time=2049, red=87979, ir=80922
time=2059, red=87984, ir=80921
time=2069, red=87977, ir=80921
time=2079, red=87984, ir=80932
time=2089, red=87989, ir=80939
time=2099, red=87978, ir=80923
time=2109, red=87983, ir=80936
time=2119, red=87984, ir=80936
time=2129, red=87981, ir=80955
time=2139, red=87995, ir=80953
time=2149, red=87977, ir=80936
time=2159, red=87968, ir=80927
time=2169, red=87972, ir=80941
time=2179, red=87990, ir=80948
time=2189, red=87986, ir=80968
time=2199, red=87989, ir=80965
time=2209, red=87986, ir=80968
time=2219, red=87981, ir=80969
time=2229, red=87984, ir=80983
time=2239, red=87978, ir=80982
time=2249, red=87992, ir=80972
time=2259, red=87992, ir=80980
time=2269, red=87970, ir=80976
time=2279, red=87990, ir=80964
time=2289, red=87980, ir=80971
time=2299, red=87980, ir=80980
time=2309, red=87971, ir=80991
time=2319, red=87981, ir=80967
time=2329, red=87961, ir=80979
time=2339, red=87963, ir=80981
time=2349, red=87971, ir=80992
time=2359, red=87953, ir=80974
time=2369, red=87960, ir=80984
time=2379, red=87953, ir=80997
time=2389, red=87956, ir=80986
time=2399, red=87952, ir=80995
time=2409, red=87960, ir=80993
time=2419, red=87962, ir=81004
