AT4T18P2 - Pris - 5_5_411_50, approx 25,000 ms tongue movement
time=3091, red=43551, ir=53664
time=3111, red=43546, ir=53646
time=3131, red=43544, ir=53669
time=3151, red=43554, ir=53646
time=3171, red=43551, ir=53645
time=3191, red=43544, ir=53649
time=3211, red=43567, ir=53661
time=3231, red=43563, ir=53660
time=3250, red=43571, ir=53676
time=3270, red=43566, ir=53681
time=3290, red=43568, ir=53686
time=3310, red=43573, ir=53717
time=3330, red=43581, ir=53716
time=3350, red=43591, ir=53723
time=3370, red=43589, ir=53732
time=3390, red=43599, ir=53744
time=3410, red=43589, ir=53739
time=3430, red=43582, ir=53757
time=3450, red=43595, ir=53755
time=3470, red=43593, ir=53755
time=3490, red=43597, ir=53758
time=3510, red=43584, ir=53773
time=3530, red=43591, ir=53786
time=3550, red=43590, ir=53771
time=3570, red=43601, ir=53801
time=3590, red=43600, ir=53800
time=3610, red=43603, ir=53802
time=3630, red=43592, ir=53792
time=3650, red=43609, ir=53780
time=3670, red=43611, ir=53790
time=3690, red=43601, ir=53819
time=3710, red=43601, ir=53840
time=3730, red=43591, ir=53843
time=3750, red=43599, ir=53844
time=3770, red=43600, ir=53850
time=3790, red=43609, ir=53867
time=3810, red=43606, ir=53863
time=3830, red=43597, ir=53869
time=3850, red=43598, ir=53877
time=3870, red=43592, ir=53884
time=3890, red=43594, ir=53874
time=3910, red=43594, ir=53874
time=3930, red=43592, ir=53873
time=3950, red=43594, ir=53888
time=3970, red=43595, ir=53886
time=3990, red=43592, ir=53885
time=4010, red=43597, ir=53887
time=4030, red=43575, ir=53886
time=4050, red=43584, ir=53880
time=4070, red=43563, ir=53865
time=4090, red=43556, ir=53851
time=4110, red=43561, ir=53830
time=4130, red=43556, ir=53815
time=4150, red=43541, ir=53786
time=4170, red=43546, ir=53759
time=4190, red=43536, ir=53736
time=4210, red=43517, ir=53704
time=4230, red=43512, ir=53690
time=4250, red=43515, ir=53683
time=4270, red=43518, ir=53652
time=4290, red=43504, ir=53638
time=4310, red=43515, ir=53619
time=4330, red=43510, ir=53624
time=4350, red=43506, ir=53620
time=4370, red=43507, ir=53623
time=4390, red=43521, ir=53613
time=4410, red=43520, ir=53622
time=4430, red=43535, ir=53625
time=4450, red=43528, ir=53634
time=4470, red=43540, ir=53656
time=4490, red=43543, ir=53660
time=4510, red=43534, ir=53665
time=4530, red=43558, ir=53672
time=4550, red=43560, ir=53677
time=4570, red=43550, ir=53680
time=4590, red=43551, ir=53693
time=4610, red=43563, ir=53707
time=4630, red=43576, ir=53693
time=4650, red=43571, ir=53700
time=4670, red=43565, ir=53713
time=4690, red=43578, ir=53722
time=4710, red=43577, ir=53730
time=4730, red=43581, ir=53737
time=4750, red=43572, ir=53746
time=4770, red=43563, ir=53735
time=4790, red=43570, ir=53742
time=4810, red=43579, ir=53745
time=4830, red=43576, ir=53745
time=4850, red=43579, ir=53767
time=4870, red=43577, ir=53771
time=4890, red=43577, ir=53774
time=4910, red=43576, ir=53770
time=4930, red=43584, ir=53793
time=4950, red=43600, ir=53791
time=4970, red=43598, ir=53804
time=4990, red=43600, ir=53790
time=5010, red=43574, ir=53808
time=5030, red=43587, ir=53811
time=5050, red=43593, ir=53815
time=5070, red=43590, ir=53822
time=5090, red=43596, ir=53836
time=5110, red=43595, ir=53844
time=5130, red=43602, ir=53839
time=5150, red=43593, ir=53849
time=5170, red=43597, ir=53849
time=5190, red=43595, ir=53862
time=5210, red=43589, ir=53842
time=5230, red=43590, ir=53849
time=5250, red=43590, ir=53863
time=5270, red=43575, ir=53849
time=5290, red=43582, ir=53856
time=5310, red=43596, ir=53861
time=5330, red=43579, ir=53855
time=5350, red=43575, ir=53845
time=5370, red=43563, ir=53863
time=5390, red=43556, ir=53834
time=5410, red=43567, ir=53821
time=5430, red=43542, ir=53823
time=5450, red=43535, ir=53814
time=5470, red=43543, ir=53795
time=5490, red=43528, ir=53760
time=5510, red=43518, ir=53749
time=5530, red=43535, ir=53741
time=5550, red=43513, ir=53720
time=5570, red=43508, ir=53712
time=5590, red=43517, ir=53692
time=5610, red=43512, ir=53668
time=5630, red=43513, ir=53655
time=5650, red=43516, ir=53647
time=5670, red=43519, ir=53643
time=5690, red=43506, ir=53615
time=5710, red=43520, ir=53626
time=5730, red=43528, ir=53612
time=5750, red=43514, ir=53626
time=5770, red=43533, ir=53632
time=5790, red=43534, ir=53633
time=5810, red=43528, ir=53636
time=5830, red=43536, ir=53654
time=5850, red=43553, ir=53660
time=5870, red=43550, ir=53661
time=5890, red=43568, ir=53663
time=5910, red=43572, ir=53691
time=5930, red=43564, ir=53687
time=5950, red=43567, ir=53686
time=5970, red=43569, ir=53704
time=5990, red=43568, ir=53716
time=6010, red=43566, ir=53707
time=6030, red=43574, ir=53724
time=6050, red=43573, ir=53715
time=6070, red=43577, ir=53720
time=6090, red=43578, ir=53725
time=6110, red=43583, ir=53726
time=6130, red=43572, ir=53722
time=6150, red=43577, ir=53738
time=6170, red=43572, ir=53745
time=6190, red=43571, ir=53741
time=6210, red=43596, ir=53754
time=6230, red=43586, ir=53755
time=6250, red=43585, ir=53758
time=6270, red=43599, ir=53777
time=6290, red=43586, ir=53795
time=6310, red=43589, ir=53792
time=6330, red=43598, ir=53802
time=6350, red=43594, ir=53824
time=6370, red=43595, ir=53827
time=6390, red=43591, ir=53821
time=6410, red=43597, ir=53827
time=6430, red=43605, ir=53832
time=6450, red=43589, ir=53834
time=6470, red=43585, ir=53843
time=6490, red=43592, ir=53841
time=6510, red=43607, ir=53850
time=6530, red=43603, ir=53859
time=6550, red=43591, ir=53860
time=6570, red=43584, ir=53867
time=6590, red=43589, ir=53873
time=6610, red=43590, ir=53870
time=6630, red=43596, ir=53880
time=6650, red=43590, ir=53888
time=6670, red=43590, ir=53902
time=6690, red=43597, ir=53883
time=6710, red=43589, ir=53903
time=6730, red=43597, ir=53893
time=6750, red=43578, ir=53872
time=6770, red=43561, ir=53864
time=6790, red=43557, ir=53845
time=6810, red=43553, ir=53819
time=6830, red=43545, ir=53785
time=6850, red=43550, ir=53789
time=6870, red=43519, ir=53748
time=6890, red=43522, ir=53743
time=6910, red=43523, ir=53708
time=6929, red=43519, ir=53693
time=6949, red=43507, ir=53677
time=6969, red=43502, ir=53665
time=6989, red=43521, ir=53650
time=7009, red=43508, ir=53626
time=7029, red=43505, ir=53618
time=7049, red=43518, ir=53610
time=7069, red=43506, ir=53617
time=7089, red=43522, ir=53620
time=7109, red=43523, ir=53618
time=7129, red=43526, ir=53630
time=7149, red=43524, ir=53628
time=7169, red=43543, ir=53637
time=7189, red=43532, ir=53642
time=7209, red=43543, ir=53654
time=7229, red=43555, ir=53661
time=7249, red=43557, ir=53666
time=7269, red=43565, ir=53673
time=7289, red=43561, ir=53676
time=7309, red=43569, ir=53689
time=7329, red=43567, ir=53679
time=7349, red=43562, ir=53686
time=7369, red=43567, ir=53696
time=7389, red=43574, ir=53709
time=7409, red=43576, ir=53720
time=7429, red=43583, ir=53733
time=7449, red=43582, ir=53729
time=7469, red=43595, ir=53747
time=7489, red=43595, ir=53742
time=7509, red=43579, ir=53759
time=7529, red=43598, ir=53757
time=7549, red=43597, ir=53756
time=7569, red=43595, ir=53777
time=7589, red=43588, ir=53785
time=7609, red=43592, ir=53795
time=7629, red=43599, ir=53799
time=7649, red=43595, ir=53810
time=7669, red=43602, ir=53821
time=7689, red=43606, ir=53827
time=7709, red=43591, ir=53826
time=7729, red=43597, ir=53837
time=7749, red=43600, ir=53832
time=7769, red=43601, ir=53839
time=7789, red=43611, ir=53845
time=7809, red=43589, ir=53854
time=7829, red=43592, ir=53874
time=7849, red=43600, ir=53881
time=7869, red=43613, ir=53891
time=7889, red=43599, ir=53902
time=7909, red=43616, ir=53905
time=7929, red=43614, ir=53910
time=7949, red=43611, ir=53905
time=7969, red=43606, ir=53908
time=7989, red=43600, ir=53894
time=8009, red=43604, ir=53881
time=8029, red=43585, ir=53857
time=8049, red=43572, ir=53866
time=8069, red=43564, ir=53859
time=8089, red=43563, ir=53859
time=8109, red=43568, ir=53844
time=8129, red=43580, ir=53853
time=8149, red=43547, ir=53840
time=8169, red=43550, ir=53822
time=8189, red=43543, ir=53792
time=8209, red=43532, ir=53777
time=8229, red=43520, ir=53762
time=8249, red=43510, ir=53741
time=8269, red=43502, ir=53734
time=8289, red=43518, ir=53700
time=8309, red=43513, ir=53694
time=8329, red=43503, ir=53670
time=8349, red=43510, ir=53656
time=8369, red=43499, ir=53638
time=8389, red=43494, ir=53627
time=8409, red=43514, ir=53620
time=842time=15647, red=43560, ir=54019
time=15667, red=43572, ir=54027
time=15687, red=43560, ir=54031
time=15707, red=43564, ir=54041
time=15727, red=43555, ir=54048
time=15747, red=43559, ir=54051
time=15767, red=43561, ir=54059
time=15787, red=43564, ir=54067
time=15807, red=43564, ir=54058
time=15827, red=43576, ir=54070
time=15847, red=43571, ir=54075
time=15867, red=43566, ir=54077
time=15887, red=43566, ir=54083
time=15907, red=43578, ir=54083
time=15927, red=43581, ir=54093
time=15947, red=43569, ir=54098
time=15967, red=43583, ir=54105
HR=117, SP=94
time=15992, red=43585, ir=54113
time=16007, red=43583, ir=54114
time=16027, red=43582, ir=54124
time=16047, red=43570, ir=54118
time=16067, red=43567, ir=54114
time=16087, red=43566, ir=54103
time=16107, red=43560, ir=54102
time=16127, red=43567, ir=54086
time=16147, red=43546, ir=54074
time=16167, red=43552, ir=54066
time=16187, red=43550, ir=54050
time=16207, red=43512, ir=54027
time=16227, red=43524, ir=53996
time=16247, red=43504, ir=53980
time=16267, red=43519, ir=53963
time=16287, red=43510, ir=53944
time=16307, red=43493, ir=53930
time=16327, red=43500, ir=53927
time=16347, red=43504, ir=53889
time=16367, red=43506, ir=53892
time=16387, red=43486, ir=53873
time=16407, red=43492, ir=53866
time=16427, red=43490, ir=53867
time=16447, red=43509, ir=53875
time=16467, red=43509, ir=53895
time=16487, red=43510, ir=53889
