AT4T1P1 - Chris - 7,10_411_100


























Press any key to start conversion
























Press any key to start conversion
time=1, red=1, ir=6
time=6, red=0, ir=6
time=16, red=0, ir=2
time=26, red=11, ir=1
time=36, red=0, ir=0
time=46, red=1, ir=8
time=56, red=0, ir=15
time=66, red=10, ir=18
time=76, red=4, ir=4
time=86, red=2, ir=3
time=96, red=0, ir=1
time=106, red=4, ir=15
time=116, red=14, ir=10
time=126, red=8, ir=2
time=136, red=0, ir=5
time=146, red=0, ir=8
time=156, red=4, ir=4
time=166, red=1, ir=0
time=176, red=13, ir=0
time=186, red=5, ir=2
time=196, red=10, ir=0
time=206, red=0, ir=0
time=216, red=6, ir=0
time=226, red=0, ir=1
time=236, red=9, ir=4
time=246, red=0, ir=11
time=256, red=9, ir=0
time=266, red=12, ir=13
time=276, red=12, ir=3
time=286, red=6, ir=4
time=296, red=3, ir=7
time=306, red=5, ir=11
time=316, red=11, ir=0
time=326, red=1, ir=3
time=336, red=2, ir=0
time=346, red=15, ir=6
time=356, red=1, ir=3
time=366, red=7, ir=1
time=376, red=5, ir=2
time=386, red=7, ir=11
time=396, red=0, ir=4
time=406, red=0, ir=4
time=416, red=0, ir=0
time=426, red=10, ir=0
time=436, red=0, ir=4
time=446, red=0, ir=4
time=456, red=4, ir=2
time=466, red=1, ir=0
time=476, red=5, ir=0
time=486, red=0, ir=12
time=496, red=13, ir=6
time=506, red=0, ir=0
time=516, red=2, ir=15
time=526, red=11, ir=2
time=536, red=9, ir=0
time=546, red=8, ir=1
time=556, red=2, ir=8
time=566, red=10, ir=5
time=576, red=0, ir=9
time=586, red=6, ir=7
time=596, red=8, ir=0
time=606, red=15, ir=4
time=616, red=8, ir=7
time=626, red=5, ir=4
time=636, red=6, ir=15
time=646, red=1, ir=0
time=656, red=5, ir=4
time=666, red=7, ir=1
time=676, red=3, ir=4
time=686, red=6, ir=0
time=696, red=11, ir=5
time=706, red=5, ir=12
time=716, red=0, ir=3
time=726, red=5, ir=4
time=736, red=3, ir=7
time=746, red=5, ir=6
time=756, red=6, ir=0
time=766, red=6, ir=6
time=776, red=7, ir=4
time=786, red=7, ir=10
time=796, red=5, ir=0
time=806, red=0, ir=5
time=816, red=0, ir=10
time=826, red=1, ir=2
time=836, red=7, ir=13
time=846, red=6, ir=2
time=856, red=0, ir=12
time=866, red=0, ir=2
time=876, red=7, ir=12
time=886, red=17, ir=8
time=896, red=0, ir=8
time=906, red=8, ir=9
time=916, red=0, ir=0
time=926, red=6, ir=9
time=936, red=11, ir=7
time=946, red=3, ir=8
time=956, red=5, ir=8
time=966, red=8, ir=0
time=976, red=4, ir=11
time=986, red=0, ir=5
time=996, red=9, ir=9
time=1006, red=6, ir=0
time=1016, red=4, ir=2
time=1026, red=7, ir=0
time=1036, red=0, ir=5
time=1046, red=0, ir=0
time=1056, red=12, ir=7
time=1066, red=10, ir=5
time=1076, red=0, ir=2
time=1086, red=7, ir=3
time=1096, red=8, ir=2
time=1106, red=6, ir=10
time=1116, red=5, ir=2
time=1126, red=17, ir=6
time=1136, red=14, ir=0
time=1146, red=6, ir=3
time=1156, red=11, ir=7
time=1166, red=7, ir=6
time=1176, red=0, ir=5
time=1186, red=0, ir=5
time=1196, red=4, ir=9
