AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=3231, red=46946, ir=54346
time=3251, red=46944, ir=54354
time=3271, red=46962, ir=54374
time=3291, red=46955, ir=54371
time=3311, red=46947, ir=54377
time=3331, red=46961, ir=54392
time=3351, red=46952, ir=54398
time=3371, red=46950, ir=54400
time=3391, red=46952, ir=54408
time=3411, red=46955, ir=54414
time=3431, red=46947, ir=54404
time=3451, red=46963, ir=54420
time=3471, red=46948, ir=54420
time=3491, red=46952, ir=54429
time=3511, red=46967, ir=54435
time=3531, red=46943, ir=54440
time=3551, red=46961, ir=54438
time=3571, red=46958, ir=54442
time=3591, red=46954, ir=54455
time=3611, red=46950, ir=54469
time=3631, red=46951, ir=54469
time=3651, red=46963, ir=54482
time=3671, red=46944, ir=54480
time=3691, red=46946, ir=54481
time=3711, red=46944, ir=54495
time=3731, red=46958, ir=54489
time=3751, red=46956, ir=54492
time=3771, red=46951, ir=54478
time=3791, red=46940, ir=54454
time=3811, red=46935, ir=54452
time=3831, red=46954, ir=54439
time=3851, red=46918, ir=54419
time=3871, red=46916, ir=54390
time=3891, red=46910, ir=54367
time=3911, red=46896, ir=54335
time=3931, red=46893, ir=54327
time=3951, red=46884, ir=54320
time=3971, red=46902, ir=54303
time=3991, red=46887, ir=54289
time=4011, red=46881, ir=54269
time=4031, red=46905, ir=54283
time=4051, red=46909, ir=54277
time=4071, red=46895, ir=54269
time=4090, red=46911, ir=54257
time=4110, red=46920, ir=54279
time=4130, red=46923, ir=54285
time=4150, red=46905, ir=54295
time=4170, red=46936, ir=54311
time=4190, red=46922, ir=54328
time=4210, red=46935, ir=54324
time=4230, red=46934, ir=54347
time=4250, red=46938, ir=54342
time=4270, red=46959, ir=54354
time=4290, red=46959, ir=54377
time=4310, red=46953, ir=54364
time=4330, red=46942, ir=54370
time=4350, red=46954, ir=54385
time=4370, red=46966, ir=54380
time=4390, red=46972, ir=54378
time=4410, red=46957, ir=54392
time=4430, red=46966, ir=54384
time=4450, red=46955, ir=54388
time=4470, red=46957, ir=54405
time=4490, red=46951, ir=54413
time=4510, red=46957, ir=54409
time=4530, red=46964, ir=54424
time=4550, red=46955, ir=54417
time=4570, red=46967, ir=54439
time=4590, red=46961, ir=54438
time=4610, red=46967, ir=54450
time=4630, red=46956, ir=54449
time=4650, red=46978, ir=54460
time=4670, red=46977, ir=54476
time=4690, red=46969, ir=54471
time=4710, red=46972, ir=54476
time=4730, red=46960, ir=54465
time=4750, red=46976, ir=54486
time=4770, red=46978, ir=54502
time=4790, red=46979, ir=54486
time=4810, red=46980, ir=54500
time=4830, red=46969, ir=54489
time=4850, red=46967, ir=54501
time=4870, red=46982, ir=54507
time=4890, red=46973, ir=54503
time=4910, red=46966, ir=54511
time=4930, red=46961, ir=54518
time=4950, red=46956, ir=54528
time=4970, red=46969, ir=54522
time=4990, red=46982, ir=54534
time=5010, red=46959, ir=54531
time=5030, red=46965, ir=54523
time=5050, red=46967, ir=54529
time=5070, red=46951, ir=54541
time=5090, red=46959, ir=54549
time=5110, red=46958, ir=54546
time=5130, red=46959, ir=54544
time=5150, red=46958, ir=54537
time=5170, red=46938, ir=54536
time=5190, red=46929, ir=54511
time=5210, red=46923, ir=54498
time=5230, red=46928, ir=54469
time=5250, red=46915, ir=54466
time=5270, red=46926, ir=54436
time=5290, red=46910, ir=54422
time=5310, red=46901, ir=54395
time=5330, red=46888, ir=54369
time=5350, red=46893, ir=54362
time=5370, red=46887, ir=54331
time=5390, red=46885, ir=54334
time=5410, red=46881, ir=54322
time=5430, red=46883, ir=54312
time=5450, red=46885, ir=54302
time=5470, red=46897, ir=54306
time=5490, red=46885, ir=54295
time=5510, red=46915, ir=54308
time=5530, red=46904, ir=54307
time=5550, red=46924, ir=54332
time=5570, red=46913, ir=54327
time=5590, red=46932, ir=54331
time=5610, red=46928, ir=54338
time=5630, red=46929, ir=54346
time=5650, red=46926, ir=54364
time=5670, red=46939, ir=54356
time=5690, red=46953, ir=54370
time=5710, red=46958, ir=54360
time=5730, red=46938, ir=54369
time=5750, red=46946, ir=54374
time=5770, red=46951, ir=54385
time=5790, red=46958, ir=54385
time=5810, red=46945, ir=54378
time=5830, red=46953, ir=54395
time=5850, red=46944, ir=54398
time=5870, red=46944, ir=54380
time=5890, red=46950, ir=54396
time=5910, red=46935, ir=54396
time=5930, red=46952, ir=54422
time=5950, red=46956, ir=54411
time=5970, red=46951, ir=54419
time=5990, red=46951, ir=54436
time=6010, red=46961, ir=54426
time=6030, red=46964, ir=54443
time=6050, red=46961, ir=54449
time=6070, red=46965, ir=54437
time=6090, red=46953, ir=54458
time=6110, red=46954, ir=54449
time=6130, red=46958, ir=54468
time=6150, red=46964, ir=54484
time=6170, red=46966, ir=54477
time=6190, red=46952, ir=54487
time=6210, red=46964, ir=54470
time=6230, red=46950, ir=54477
time=6250, red=46967, ir=54478
time=6270, red=46944, ir=54489
time=6290, red=46946, ir=54493
time=6310, red=46955, ir=54500
time=6330, red=46948, ir=54485
time=6350, red=46965, ir=54504
time=6370, red=46966, ir=54491
time=6390, red=46952, ir=54511
time=6410, red=46948, ir=54510
