AT4T23P2 - Pris - 7_7_411_100_35PL
time=5690, red=66635, ir=81783
time=5700, red=66642, ir=81773
time=5710, red=66633, ir=81781
time=5720, red=66637, ir=81780
time=5730, red=66644, ir=81788
time=5740, red=66634, ir=81790
time=5750, red=66644, ir=81795
time=5760, red=66639, ir=81794
time=5770, red=66628, ir=81793
time=5780, red=66634, ir=81771
time=5790, red=66626, ir=81768
time=5800, red=66635, ir=81765
time=5810, red=66634, ir=81738
time=5820, red=66619, ir=81737
time=5830, red=66612, ir=81744
time=5840, red=66613, ir=81728
time=5850, red=66625, ir=81743
time=5860, red=66618, ir=81745
time=5870, red=66615, ir=81754
time=5880, red=66631, ir=81765
time=5890, red=66619, ir=81767
time=5900, red=66624, ir=81766
time=5910, red=66624, ir=81780
time=5920, red=66623, ir=81777
time=5930, red=66631, ir=81776
time=5940, red=66625, ir=81760
time=5950, red=66625, ir=81752
time=5960, red=66626, ir=81761
time=5970, red=66616, ir=81762
time=5980, red=66613, ir=81753
time=5990, red=66625, ir=81765
HR=98, SP=-1
time=6014, red=66617, ir=81756
time=6020, red=66618, ir=81776
time=6030, red=66622, ir=81782
time=6040, red=66615, ir=81791
time=6050, red=66622, ir=81778
time=6060, red=66630, ir=81791
time=6070, red=66627, ir=81814
time=6080, red=66602, ir=81821
time=6090, red=66623, ir=81820
time=6100, red=66617, ir=81825
time=6110, red=66625, ir=81830
time=6120, red=66618, ir=81831
time=6130, red=66612, ir=81831
time=6140, red=66623, ir=81835
time=6150, red=66625, ir=81834
time=6160, red=66628, ir=81820
time=6170, red=66627, ir=81828
time=6180, red=66603, ir=81835
time=6190, red=66636, ir=81831
time=6200, red=66627, ir=81839
time=6210, red=66625, ir=81848
time=6220, red=66622, ir=81838
time=6230, red=66614, ir=81850
time=6240, red=66611, ir=81845
time=6250, red=66619, ir=81868
time=6260, red=66613, ir=81871
time=6270, red=66624, ir=81870
time=6280, red=66623, ir=81874
time=6290, red=66619, ir=81864
time=6300, red=66623, ir=81876
time=6310, red=66614, ir=81876
time=6320, red=66617, ir=81888
time=6330, red=66612, ir=81894
time=6340, red=66638, ir=81888
time=6350, red=66620, ir=81891
time=6360, red=66617, ir=81908
time=6370, red=66611, ir=81900
time=6380, red=66616, ir=81903
time=6390, red=66622, ir=81901
time=6400, red=66617, ir=81910
time=6410, red=66610, ir=81907
time=6420, red=66602, ir=81905
time=6430, red=66608, ir=81912
time=6440, red=66613, ir=81904
time=6450, red=66602, ir=81912
time=6460, red=66600, ir=81917
time=6470, red=66589, ir=81907
time=6480, red=66604, ir=81920
time=6490, red=66609, ir=81909
time=6500, red=66607, ir=81897
time=6510, red=66601, ir=81894
time=6520, red=66583, ir=81885
time=6530, red=66574, ir=81876
time=6540, red=66581, ir=81882
time=6550, red=66570, ir=81849
time=6560, red=66565, ir=81849
time=6570, red=66569, ir=81821
time=6579, red=66553, ir=81821
time=6589, red=66553, ir=81802
time=6599, red=66541, ir=81789
time=6609, red=66552, ir=81766
time=6619, red=66534, ir=81762
time=6629, red=66549, ir=81758
time=6639, red=66540, ir=81735
time=6649, red=66539, ir=81739
time=6659, red=66526, ir=81728
time=6669, red=66516, ir=81702
time=6679, red=66520, ir=81676
time=6689, red=66513, ir=81684
time=6699, red=66521, ir=81671
time=6709, red=66526, ir=81678
time=6719, red=66519, ir=81658
time=6729, red=66529, ir=81655
time=6739, red=66534, ir=81661
time=6749, red=66537, ir=81654
time=6759, red=66537, ir=81661
time=6769, red=66538, ir=81679
time=6779, red=66550, ir=81669
time=6789, red=66535, ir=81672
time=6799, red=66545, ir=81656
time=6809, red=66544, ir=81656
time=6819, red=66559, ir=81667
time=6829, red=66548, ir=81655
time=6839, red=66568, ir=81666
time=6849, red=66552, ir=81660
time=6859, red=66553, ir=81647
time=6869, red=66553, ir=81657
time=6879, red=66570, ir=81653
time=6889, red=66567, ir=81660
time=6899, red=66586, ir=81656
time=6909, red=66573, ir=81663
time=6919, red=66593, ir=81678
time=6929, red=66594, ir=81667
time=6939, red=66581, ir=81691
time=6949, red=66586, ir=81682
time=6959, red=66599, ir=81702
time=6969, red=66613, ir=81721
time=6979, red=66597, ir=81727
time=6989, red=66607, ir=81733
time=6999, red=66607, ir=81713
HR=90, SP=-1
time=7009, red=66603, ir=81716
time=7019, red=66595, ir=81720
time=7029, red=66613, ir=81719
time=7039, red=66604, ir=81720
time=7049, red=66600, ir=81718
time=7059, red=66603, ir=81730
time=7069, red=66599, ir=81736
time=7079, red=66606, ir=81717
time=7089, red=66600, ir=81737
time=7099, red=66606, ir=81732
time=7109, red=66593, ir=81725
time=7119, red=66601, ir=81738
time=7129, red=66601, ir=81738
time=7139, red=66591, ir=81735
time=7149, red=66602, ir=81745
time=7159, red=66596, ir=81742
time=7169, red=66613, ir=81756
time=7179, red=66619, ir=81744
time=7189, red=66608, ir=81739
time=7199, red=66612, ir=81747
time=7209, red=66625, ir=81753
time=7219, red=66606, ir=81746
time=7229, red=66602, ir=81740
time=7239, red=66623, ir=81737
time=7249, red=66604, ir=81746
time=7259, red=66609, ir=81737
time=7269, red=66605, ir=81765
time=7279, red=66601, ir=81762
time=7289, red=66611, ir=81765
time=7299, red=66609, ir=81763
time=7309, red=66605, ir=81778
time=7319, red=66614, ir=81771
time=7329, red=66614, ir=81799
time=7339, red=66614, ir=81788
time=7349, red=66610, ir=81783
time=7359, red=66606, ir=81787
time=7369, red=66621, ir=81801
time=7379, red=66614, ir=81800
time=7389, red=66612, ir=81784
time=7399, red=66616, ir=81801
time=7409, red=66611, ir=81798
time=7419, red=66610, ir=81800
time=7429, red=66612, ir=81810
time=7439, red=66619, ir=81818
time=7449, red=66613, ir=81828
time=7459, red=66615, ir=81824
time=7469, red=66613, ir=81824
time=7479, red=66615, ir=81825
time=7489, red=66617, ir=81823
time=7499, red=66609, ir=81826
time=7509, red=66605, ir=81827
time=7519, red=66606, ir=81810
time=7529, red=66600, ir=81825
time=7539, red=66601, ir=81831
time=7549, red=66591, ir=81821
time=7559, red=66608, ir=81840
time=7569, red=66599, ir=81833
time=7579, red=66598, ir=81822
time=7589, red=66601, ir=81833
time=7599, red=66615, ir=81830
time=7609, red=66602, ir=81852
time=7619, red=66600, ir=81847
time=7629, red=66596, ir=81855
time=7639, red=66607, ir=81865
