AT4T24P2 - Pris - 16_7_215_100, movement approx 25k ms
d=152032, ir=81298
time=45452, red=152044, ir=81304
time=45462, red=152043, ir=81315
time=45472, red=152015, ir=81313
time=45482, red=152026, ir=81326
time=45492, red=152032, ir=81305
time=45502, red=152040, ir=81306
time=45512, red=152096, ir=81331
time=45522, red=152141, ir=81372
time=45532, red=152150, ir=81377
time=45542, red=152151, ir=81396
time=45552, red=152161, ir=81411
time=45562, red=152163, ir=81405
time=45572, red=152154, ir=81395
time=45582, red=152150, ir=81395
time=45592, red=152136, ir=81384
time=45602, red=152139, ir=81377
time=45612, red=152126, ir=81373
time=45622, red=152123, ir=81364
time=45632, red=152120, ir=81370
time=45642, red=152113, ir=81373
time=45652, red=152127, ir=81384
time=45662, red=152113, ir=81383
time=45672, red=152103, ir=81383
time=45682, red=152107, ir=81382
time=45692, red=152096, ir=81374
time=45702, red=152115, ir=81376
time=45712, red=152086, ir=81398
time=45722, red=152095, ir=81382
time=45732, red=152095, ir=81402
time=45742, red=152107, ir=81414
time=45752, red=152121, ir=81430
time=45762, red=152114, ir=81410
time=45772, red=152118, ir=81431
time=45782, red=152114, ir=81412
time=45792, red=152119, ir=81440
time=45802, red=152126, ir=81433
time=45812, red=152111, ir=81462
time=45822, red=152108, ir=81446
time=45832, red=152123, ir=81469
time=45842, red=152131, ir=81445
time=45852, red=152147, ir=81458
time=45862, red=152143, ir=81474
time=45872, red=152159, ir=81521
time=45882, red=152212, ir=81516
time=45892, red=152223, ir=81537
time=45902, red=152228, ir=81544
time=45912, red=152239, ir=81558
time=45922, red=152258, ir=81551
time=45932, red=152249, ir=81547
time=45942, red=152248, ir=81556
time=45952, red=152236, ir=81583
time=45962, red=152239, ir=81569
time=45972, red=152217, ir=81542
time=45982, red=152216, ir=81531
time=45992, red=152205, ir=81556
time=46002, red=152188, ir=81543
time=46012, red=152177, ir=81551
time=46022, red=152190, ir=81547
time=46032, red=152181, ir=81564
time=46042, red=152180, ir=81560
time=46052, red=152196, ir=81565
time=46062, red=152183, ir=81560
time=46071, red=152165, ir=81555
time=46081, red=152168, ir=81536
time=46091, red=152163, ir=81541
time=46101, red=152156, ir=81551
time=46111, red=152164, ir=81566
time=46121, red=152158, ir=81544
time=46131, red=152147, ir=81554
time=46141, red=152158, ir=81566
time=46151, red=152142, ir=81567
time=46161, red=152169, ir=81569
time=46171, red=152153, ir=81577
HR=222, SP=92
time=46198, red=152164, ir=81572
time=46202, red=152165, ir=81580
time=46211, red=152153, ir=81587
time=46221, red=152133, ir=81588
time=46231, red=152142, ir=81588
time=46241, red=152141, ir=81591
time=46251, red=152138, ir=81603
time=46261, red=152146, ir=81609
time=46271, red=152177, ir=81609
time=46281, red=152164, ir=81602
time=46291, red=152170, ir=81617
time=46301, red=152152, ir=81619
time=46311, red=152142, ir=81600
time=46321, red=152121, ir=81571
time=46331, red=152109, ir=81560
time=46341, red=152076, ir=81545
time=46351, red=152081, ir=81509
time=46361, red=152061, ir=81493
time=46371, red=152046, ir=81473
time=46381, red=152053, ir=81457
time=46391, red=152038, ir=81440
time=46401, red=151996, ir=81410
time=46411, red=151979, ir=81395
time=46421, red=151948, ir=81367
time=46431, red=151974, ir=81324
time=46441, red=151923, ir=81320
time=46451, red=151913, ir=81291
time=46461, red=151909, ir=81271
time=46471, red=151885, ir=81231
time=46481, red=151870, ir=81226
time=46491, red=151831, ir=81206
time=46501, red=151854, ir=81189
time=46511, red=151858, ir=81140
time=46521, red=151855, ir=81163
time=46531, red=151848, ir=81160
time=46541, red=151865, ir=81101
time=46551, red=151846, ir=81119
time=46561, red=151872, ir=81088
time=46571, red=151859, ir=81094
time=46581, red=151862, ir=81061
time=46591, red=151870, ir=81050
time=46601, red=151866, ir=81071
time=46611, red=151866, ir=81056
time=46621, red=151884, ir=81037
time=46631, red=151905, ir=81034
time=46641, red=151892, ir=81022
time=46651, red=151884, ir=81029
time=46661, red=151914, ir=81010
time=46671, red=151913, ir=81027
time=46681, red=151952, ir=81019
time=46691, red=151944, ir=81035
time=46701, red=151962, ir=81032
time=46711, red=151976, ir=81052
time=46721, red=151988, ir=81042
time=46731, red=152009, ir=81062
time=46741, red=152018, ir=81074
time=46751, red=152048, ir=81093
time=46761, red=152071, ir=81088
time=46771, red=152079, ir=81093
time=46781, red=152080, ir=81083
time=46791, red=152091, ir=81091
time=46801, red=152088, ir=81107
time=46811, red=152085, ir=81084
time=46821, red=152132, ir=81107
time=46831, red=152119, ir=81116
time=46841, red=152150, ir=81119
time=46851, red=152140, ir=81131
time=46861, red=152169, ir=81143
time=46871, red=152164, ir=81121
time=46881, red=152183, ir=81135
time=46891, red=152184, ir=81133
time=46901, red=152151, ir=81117
time=46911, red=152160, ir=81129
time=46921, red=152188, ir=81139
time=46931, red=152187, ir=81131
time=46941, red=152197, ir=81141
time=46951, red=152206, ir=81140
time=46961, red=152200, ir=81111
time=46971, red=152214, ir=81129
time=46981, red=152201, ir=81122
time=46991, red=152200, ir=81128
time=47001, red=152204, ir=81113
time=47011, red=152197, ir=81123
time=47021, red=152203, ir=81133
time=47031, red=152211, ir=81135
time=47041, red=152248, ir=81129
time=47051, red=152263, ir=81154
time=47061, red=152241, ir=81149
time=47071, red=152285, ir=81176
time=47081, red=152267, ir=81173
time=47091, red=152278, ir=81157
time=47101, red=152289, ir=81180
time=47111, red=152308, ir=81184
time=47121, red=152326, ir=81194
time=47131, red=152320, ir=81210
time=47141, red=152298, ir=81219
time=47151, red=152314, ir=81222
time=47161, red=152317, ir=81192
time=47171, red=152333, ir=81201
time=47181, red=152319, ir=81219
HR=109, SP=96
time=47191, red=152365, ir=81235
time=47201, red=152366, ir=81251
time=47211, red=152361, ir=81241
time=47221, red=152378, ir=81246
time=47231, red=152391, ir=81274
time=47241, red=152382, ir=81280
time=47251, red=152382, ir=81285
time=47261, red=152394, ir=81278
time=47271, red=152389, ir=81288
time=47281, red=152409, ir=81294
time=47291, red=152405, ir=81275
time=47301, red=152391, ir=81293
time=47311, red=152402, ir=81305
time=47321, red=152407, ir=81300
time=47331, red=152413, ir=81306
time=47341, red=152425, ir=81313
time=47351, red=152436, ir=81332
time=47361, red=152433, ir=81348
time=47371, red=152439, ir=81345
