AT4T26P2 - Pris - 5_5_215_50
time=17566, red=47974, ir=55010
time=17586, red=47962, ir=54972
time=17606, red=47963, ir=54950
time=17626, red=47966, ir=54904
time=17646, red=47925, ir=54878
time=17666, red=47913, ir=54814
time=17686, red=47891, ir=54771
time=17706, red=47887, ir=54741
time=17726, red=47894, ir=54720
time=17746, red=47887, ir=54701
time=17766, red=47892, ir=54702
time=17786, red=47892, ir=54661
time=17806, red=47881, ir=54664
time=17826, red=47872, ir=54657
time=17846, red=47884, ir=54671
time=17866, red=47887, ir=54694
time=17886, red=47903, ir=54723
time=17906, red=47920, ir=54735
time=17926, red=47920, ir=54735
time=17946, red=47914, ir=54747
time=17966, red=47930, ir=54771
HR=75, SP=61
time=17986, red=47953, ir=54779
time=18006, red=47936, ir=54806
time=18026, red=47933, ir=54801
time=18046, red=47944, ir=54774
time=18066, red=47942, ir=54775
time=18086, red=47946, ir=54788
time=18106, red=47949, ir=54758
time=18126, red=47935, ir=54768
time=18146, red=47941, ir=54779
time=18166, red=47954, ir=54787
time=18186, red=47954, ir=54794
time=18206, red=47938, ir=54784
time=18226, red=47946, ir=54764
time=18246, red=47939, ir=54769
time=18266, red=47945, ir=54770
time=18286, red=47926, ir=54752
time=18306, red=47940, ir=54749
time=18326, red=47947, ir=54770
time=18346, red=47949, ir=54801
time=18366, red=47957, ir=54811
time=18386, red=47935, ir=54844
time=18406, red=47931, ir=54882
time=18426, red=47948, ir=54896
time=18446, red=47932, ir=54874
time=18466, red=47963, ir=54895
time=18486, red=47969, ir=54893
time=18506, red=47963, ir=54877
time=18526, red=47958, ir=54849
time=18546, red=47965, ir=54859
time=18566, red=47962, ir=54888
time=18586, red=47980, ir=54920
time=18606, red=47972, ir=54936
time=18626, red=47985, ir=54944
time=18646, red=47975, ir=54963
time=18666, red=47983, ir=54966
time=18686, red=47999, ir=54990
time=18706, red=47974, ir=55000
time=18726, red=47977, ir=54992
time=18746, red=47990, ir=55028
time=18766, red=47984, ir=55019
time=18786, red=48002, ir=55039
time=18806, red=47983, ir=55044
time=18826, red=48006, ir=55079
time=18846, red=48004, ir=55099
time=18866, red=48009, ir=55133
time=18886, red=48025, ir=55100
time=18906, red=47995, ir=55096
time=18926, red=48019, ir=55081
time=18946, red=47989, ir=55083
time=18966, red=47986, ir=55035
time=18986, red=47955, ir=55012
time=19006, red=47938, ir=54977
time=19026, red=47953, ir=54928
time=19046, red=47901, ir=54911
time=19066, red=47905, ir=54860
time=19086, red=47902, ir=54826
time=19106, red=47902, ir=54825
time=19126, red=47879, ir=54805
time=19146, red=47893, ir=54780
time=19166, red=47888, ir=54808
time=19186, red=47907, ir=54796
time=19206, red=47912, ir=54804
time=19226, red=47909, ir=54830
time=19246, red=47901, ir=54829
time=19266, red=47923, ir=54846
time=19286, red=47933, ir=54848
time=19306, red=47951, ir=54873
time=19326, red=47950, ir=54892
time=19346, red=47964, ir=54907
time=19366, red=47976, ir=54939
time=19386, red=47969, ir=54954
time=19406, red=47988, ir=54948
time=19426, red=47983, ir=54963
time=19446, red=47982, ir=54952
time=19466, red=47994, ir=54984
time=19486, red=47992, ir=54967
time=19506, red=47988, ir=54937
time=19526, red=47998, ir=54976
time=19546, red=47988, ir=54953
time=19566, red=47994, ir=54968
time=19586, red=47978, ir=54929
time=19606, red=48005, ir=54938
time=19626, red=47984, ir=54937
time=19646, red=47976, ir=54921
time=19666, red=47986, ir=54915
time=19686, red=47968, ir=54899
time=19706, red=47969, ir=54887
time=19726, red=47970, ir=54897
time=19746, red=47971, ir=54895
time=19766, red=47962, ir=54898
time=19786, red=47967, ir=54890
time=19806, red=47972, ir=54898
time=19826, red=47956, ir=54920
time=19846, red=47973, ir=54921
time=19866, red=47967, ir=54924
time=19886, red=47949, ir=54928
time=19906, red=47977, ir=54916
time=19926, red=47967, ir=54920
time=19946, red=47973, ir=54938
time=19966, red=47976, ir=54949
HR=88, SP=61
time=19990, red=47992, ir=54927
time=20006, red=47968, ir=54936
time=20026, red=47964, ir=54929
time=20046, red=47973, ir=54927
time=20066, red=47976, ir=54928
time=20086, red=47968, ir=54924
time=20106, red=47953, ir=54930
time=20126, red=47962, ir=54908
time=20146, red=47964, ir=54898
time=20165, red=47958, ir=54927
time=20185, red=47954, ir=54929
time=20205, red=47972, ir=54930
time=20225, red=47943, ir=54939
time=20245, red=47946, ir=54946
time=20265, red=47941, ir=54945
time=20285, red=47950, ir=54947
time=20305, red=47967, ir=54958
time=20325, red=47953, ir=54952
time=20345, red=47951, ir=54949
time=20365, red=47953, ir=54925
time=20385, red=47953, ir=54899
time=20405, red=47927, ir=54873
time=20425, red=47930, ir=54864
time=20445, red=47914, ir=54878
time=20465, red=47891, ir=54842
time=20485, red=47902, ir=54827
time=20505, red=47882, ir=54809
time=20525, red=47892, ir=54803
time=20545, red=47885, ir=54792
time=20565, red=47877, ir=54768
time=20585, red=47909, ir=54761
time=20605, red=47908, ir=54762
