AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=7583, red=52139, ir=58481
time=7603, red=52131, ir=58488
time=7623, red=52118, ir=58479
time=7643, red=52117, ir=58496
time=7664, red=52137, ir=58483
time=7684, red=52126, ir=58489
time=7704, red=52131, ir=58491
time=7724, red=52135, ir=58490
time=7744, red=52128, ir=58487
time=7764, red=52135, ir=58492
time=7784, red=52136, ir=58494
time=7804, red=52124, ir=58506
time=7824, red=52120, ir=58502
time=7844, red=52126, ir=58512
time=7864, red=52136, ir=58512
time=7884, red=52130, ir=58526
time=7904, red=52128, ir=58504
time=7924, red=52121, ir=58520
time=7944, red=52142, ir=58518
time=7964, red=52125, ir=58516
time=7984, red=52123, ir=58530
time=8004, red=52107, ir=58514
time=8024, red=52119, ir=58514
time=8044, red=52119, ir=58515
time=8064, red=52103, ir=58513
time=8084, red=52125, ir=58525
time=8104, red=52095, ir=58516
time=8124, red=52097, ir=58511
time=8144, red=52109, ir=58526
time=8164, red=52102, ir=58541
time=8184, red=52104, ir=58541
time=8204, red=52103, ir=58543
time=8224, red=52093, ir=58537
time=8244, red=52098, ir=58517
time=8264, red=52087, ir=58506
time=8284, red=52073, ir=58498
time=8304, red=52063, ir=58478
time=8324, red=52057, ir=58457
time=8344, red=52048, ir=58434
time=8364, red=52039, ir=58428
time=8384, red=52046, ir=58408
time=8404, red=52033, ir=58384
time=8424, red=52041, ir=58379
time=8444, red=52032, ir=58361
time=8464, red=52047, ir=58357
time=8484, red=52034, ir=58357
time=8504, red=52054, ir=58348
time=8524, red=52050, ir=58326
time=8544, red=52048, ir=58318
time=8564, red=52061, ir=58335
time=8584, red=52068, ir=58324
time=8604, red=52082, ir=58297
time=8624, red=52066, ir=58319
time=8645, red=52083, ir=58331
time=8665, red=52098, ir=58336
time=8685, red=52106, ir=58331
time=8705, red=52115, ir=58334
time=8725, red=52116, ir=58341
time=8745, red=52125, ir=58337
time=8765, red=52131, ir=58339
time=8785, red=52131, ir=58358
time=8805, red=52139, ir=58352
time=8825, red=52135, ir=58370
time=8845, red=52133, ir=58353
time=8865, red=52141, ir=58347
time=8885, red=52154, ir=58351
time=8905, red=52148, ir=58374
time=8925, red=52158, ir=58360
time=8945, red=52147, ir=58372
time=8965, red=52147, ir=58370
time=8985, red=52144, ir=58369
time=9005, red=52131, ir=58371
time=9025, red=52150, ir=58376
time=9045, red=52157, ir=58368
time=9065, red=52157, ir=58368
time=9085, red=52150, ir=58375
time=9105, red=52153, ir=58380
time=9125, red=52140, ir=58386
time=9145, red=52155, ir=58378
time=9165, red=52152, ir=58372
time=9185, red=52155, ir=58387
time=9205, red=52145, ir=58385
time=9225, red=52151, ir=58409
time=9245, red=52138, ir=58388
time=9265, red=52156, ir=58417
time=9285, red=52147, ir=58391
time=9305, red=52155, ir=58397
time=9325, red=52143, ir=58416
time=9345, red=52144, ir=58413
time=9365, red=52156, ir=58416
time=9385, red=52170, ir=58419
time=9405, red=52150, ir=58429
time=9425, red=52156, ir=58422
time=9445, red=52140, ir=58427
time=9465, red=52157, ir=58437
time=9485, red=52154, ir=58440
time=9505, red=52150, ir=58456
time=9525, red=52140, ir=58463
time=9545, red=52157, ir=58452
time=9565, red=52139, ir=58471
time=9586, red=52149, ir=58461
time=9606, red=52151, ir=58475
time=9626, red=52146, ir=58479
time=9646, red=52151, ir=58490
time=9666, red=52147, ir=58492
time=9686, red=52143, ir=58493
time=9706, red=52150, ir=58495
time=9726, red=52149, ir=58508
time=9746, red=52144, ir=58511
time=9766, red=52146, ir=58499
time=9786, red=52135, ir=58498
time=9806, red=52144, ir=58486
time=9826, red=52129, ir=58469
time=9846, red=52106, ir=58461
time=9866, red=52104, ir=58449
time=9886, red=52112, ir=58417
time=9906, red=52078, ir=58394
time=9926, red=52088, ir=58383
time=9946, red=52069, ir=58362
time=9966, red=52072, ir=58350
time=9986, red=52088, ir=58335
time=10006, red=52078, ir=58321
time=10026, red=52074, ir=58322
time=10046, red=52078, ir=58297
time=10066, red=52072, ir=58300
time=10086, red=52092, ir=58284
time=10106, red=52104, ir=58275
time=10126, red=52106, ir=58279
time=10146, red=52108, ir=58285
time=10166, red=52114, ir=58292
time=10186, red=52130, ir=58287
time=10206, red=52124, ir=58272
time=10226, red=52141, ir=58290
time=10246, red=52146, ir=58293
time=10266, red=52153, ir=58320
time=10286, red=52164, ir=58298
time=10306, red=52172, ir=58303
time=10326, red=52155, ir=58298
time=10346, red=52165, ir=58300
time=10366, red=52179, ir=58310
time=10386, red=52167, ir=58298
time=10406, red=52165, ir=58285
time=10426, red=52160, ir=58273
time=10446, red=52178, ir=58284
time=10466, red=52174, ir=58283
time=10486, red=52158, ir=58292
time=10506, red=52173, ir=58289
time=10527, red=52178, ir=58284
time=10547, red=52180, ir=58294
time=10567, red=52187, ir=58298
time=10587, red=52184, ir=58300
time=10607, red=52208, ir=58326
time=10627, red=52213, ir=58338
time=10647, red=52228, ir=58351
time=10667, red=52205, ir=58338
time=10687, red=52210, ir=58355
time=10707, red=52217, ir=58355
time=10727, red=52217, ir=58371
time=10747, red=52226, ir=58352
time=10767, red=52218, ir=58353
time=10787, red=52222, ir=58372
time=10807, red=52227, ir=58375
time=10827, red=52223, ir=58365
time=10847, red=52223, ir=58367
time=10867, red=52224, ir=58379
time=10887, red=52225, ir=58372
time=10907, red=52218, ir=58385
time=10927, red=52208, ir=58373
time=10947, red=52219, ir=58390
time=10967, red=52208, ir=58371
time=10987, red=52214, ir=58383
time=11007, red=52195, ir=58391
time=11027, red=52204, ir=58398
time=11047, red=52200, ir=58375
time=11067, red=52193, ir=58382
time=11087, red=52193, ir=58382
time=11107, red=52186, ir=58380
time=11127, red=52188, ir=58399
time=11147, red=52188, ir=58389
time=11167, red=52196, ir=58390
time=11187, red=52179, ir=58409
time=11207, red=52179, ir=58406
time=11227, red=52190, ir=58393
time=11247, red=52174, ir=58403
time=11267, red=52181, ir=58410
time=11287, red=52178, ir=58397
time=11307, red=52175, ir=58382
time=11327, red=52167, ir=58374
time=11347, red=52148, ir=58357
time=11367, red=52135, ir=58329
time=11387, red=52136, ir=58315
time=11407, red=52136, ir=58295
time=11427, red=52121, ir=58288
time=11447, red=52121, ir=58268
time=11467, red=52128, ir=58255
time=11487, red=52130, ir=58244
time=11507, red=52130, ir=58214
time=11528, red=52113, ir=58207
time=11548, red=52124, ir=58201
time=11568, red=52126, ir=58195
time=11588, red=52134, ir=58195
time=11608, red=52139, ir=58201
time=11628, red=52155, ir=58202
time=11648, red=52171, ir=58198
time=11668, red=52179, ir=58213
time=11688, red=52176, ir=58214
time=11708, red=52183, ir=58216
time=11728, red=52188, ir=58203
time=11748, red=52201, ir=58212
time=11768, red=52199, ir=58217
time=11788, red=52208, ir=58235
time=11808, red=52203, ir=58224
time=11828, red=52210, ir=58237
time=11848, red=52209, ir=58230
time=11868, red=52209, ir=58229
time=11888, red=52228, ir=58235
time=11908, red=52222, ir=58240
time=11928, red=52230, ir=58244
time=11948, red=52226, ir=58241
time=11968, red=52212, ir=58250
time=11988, red=52220, ir=58251
HR=105, SP=89
time=12015, red=52227, ir=58253
time=12028, red=52229, ir=58252
time=12048, red=52221, ir=58253
time=12068, red=52231, ir=58263
time=12088, red=52233, ir=58267
time=12108, red=52230, ir=58279
time=12128, red=52234, ir=58282
time=12148, red=52242, ir=58277
time=12168, red=52244, ir=58284
time=12188, red=52248, ir=58296
time=12208, red=52228, ir=58296
time=12228, red=52246, ir=58304
time=12248, red=52236, ir=58321
time=12268, red=52252, ir=58321
time=12288, red=52257, ir=58327
time=12308, red=52260, ir=58332
time=12328, red=52241, ir=58329
time=12348, red=52256, ir=58336
time=12368, red=52245, ir=58340
time=12388, red=52247, ir=58350
time=12408, red=52238, ir=58351
time=12428, red=52255, ir=58343
time=12448, red=52250, ir=58350
time=12468, red=52252, ir=58372
time=12489, red=52244, ir=58362
time=12509, red=52245, ir=58364
time=12529, red=52238, ir=58372
time=12549, red=52236, ir=58380
time=12569, red=52232, ir=58387
time=12589, red=52227, ir=58378
time=12609, red=52226, ir=58393
time=12629, red=52231, ir=58386
time=12649, red=52208, ir=58386
time=12669, red=52219, ir=58376
time=12689, red=52230, ir=58375
time=12709, red=52203, ir=58373
time=12729, red=52198, ir=58386
time=12749, red=52196, ir=58402
time=12769, red=52217, ir=58403
time=12789, red=52196, ir=58404
time=12809, red=52203, ir=58400
time=128time=16733, red=52178, ir=58271
time=16753, red=52179, ir=58279
time=16773, red=52198, ir=58270
time=16793, red=52198, ir=58272
time=16813, red=52183, ir=58265
time=16833, red=52172, ir=58277
time=16853, red=52179, ir=58269
time=16873, red=52189, ir=58260
time=16893, red=52191, ir=58262
time=16913, red=52185, ir=58263
time=16933, red=52176, ir=58265
time=16953, red=52184, ir=58269
time=16973, red=52171, ir=58286
time=16993, red=52190, ir=58278
time=17013, red=52194, ir=58277
time=17033, red=52196, ir=58285
time=17053, red=52195, ir=58281
time=17073, red=52200, ir=58290
time=17093, red=52196, ir=58289
time=17113, red=52191, ir=58299
time=17133, red=52202, ir=58303
time=17153, red=52204, ir=58298
time=17173, red=52201, ir=58306
time=17193, red=52197, ir=58330
time=17213, red=52211, ir=58333
time=17233, red=52195, ir=58319
time=17253, red=52201, ir=58330
time=17273, red=52201, ir=58343
time=17293, red=52200, ir=58332
