AT4T2P1 - Chris - 10_7
























Press any key to start conversion
time=1, red=58259, ir=58198
time=9, red=74521, ir=74350
time=19, red=80529, ir=73995
time=29, red=80532, ir=74006
time=39, red=80527, ir=73999
time=49, red=80543, ir=73998
time=59, red=80533, ir=74013
time=69, red=80555, ir=74026
time=79, red=80548, ir=74031
time=89, red=80541, ir=74028
time=99, red=80543, ir=74035
time=109, red=80547, ir=74033
time=119, red=80552, ir=74048
time=129, red=80550, ir=74046
time=139, red=80538, ir=74056
time=149, red=80553, ir=74058
time=159, red=80535, ir=74073
time=169, red=80537, ir=74070
time=179, red=80548, ir=74059
time=189, red=80541, ir=74062
time=199, red=80528, ir=74070
time=209, red=80524, ir=74071
time=219, red=80535, ir=74069
time=229, red=80549, ir=74071
time=239, red=80526, ir=74084
time=249, red=80535, ir=74089
time=259, red=80546, ir=74078
time=269, red=80521, ir=74082
time=279, red=80540, ir=74098
time=289, red=80536, ir=74081
time=299, red=80541, ir=74109
time=309, red=80526, ir=74088
time=319, red=80987, ir=74481
time=329, red=80990, ir=74481
time=339, red=81004, ir=74500
time=349, red=81011, ir=74506
time=359, red=81007, ir=74505
time=369, red=81003, ir=74507
time=379, red=81023, ir=74520
time=389, red=81035, ir=74519
time=399, red=81033, ir=74523
time=409, red=81048, ir=74553
time=419, red=81054, ir=74548
time=429, red=81051, ir=74571
time=439, red=81048, ir=74564
time=449, red=81046, ir=74577
time=459, red=81057, ir=74589
time=469, red=81042, ir=74575
time=479, red=81038, ir=74581
time=489, red=81058, ir=74570
time=499, red=81041, ir=74561
time=509, red=81042, ir=74581
time=519, red=81061, ir=74585
time=529, red=81048, ir=74586
time=539, red=81041, ir=74591
time=549, red=81056, ir=74590
time=559, red=81039, ir=74583
time=569, red=81037, ir=74583
time=579, red=81034, ir=74582
time=589, red=81050, ir=74582
time=599, red=81042, ir=74585
time=609, red=81050, ir=74592
time=619, red=81043, ir=74587
time=629, red=81042, ir=74602
time=639, red=81035, ir=74614
time=649, red=81054, ir=74590
time=659, red=81043, ir=74594
time=669, red=81062, ir=74604
time=679, red=81047, ir=74592
time=689, red=81057, ir=74608
time=699, red=81034, ir=74600
time=709, red=81057, ir=74602
time=719, red=81058, ir=74598
time=729, red=81044, ir=74608
time=739, red=81046, ir=74608
time=749, red=81047, ir=74600
time=759, red=81041, ir=74588
time=769, red=81047, ir=74596
time=779, red=81053, ir=74608
time=789, red=81039, ir=74606
time=799, red=81041, ir=74619
time=809, red=81049, ir=74616
time=819, red=81041, ir=74620
time=829, red=81050, ir=74619
time=839, red=81048, ir=74629
