AT4T31P3 - Pris - 5_5_411_50, movement approx 55k ms
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
Press any key to start conversion
time=1, red=10623, ir=9208
time=16, red=10695, ir=9238
time=36, red=10643, ir=9216
time=56, red=10641, ir=9264
time=76, red=10665, ir=9228
time=96, red=10668, ir=9225
time=116, red=10725, ir=9276
time=136, red=10685, ir=9233
time=156, red=10712, ir=9267
time=176, red=10711, ir=9277
time=196, red=10713, ir=9283
time=216, red=10730, ir=9290
time=236, red=10700, ir=9286
time=256, red=10701, ir=9278
time=276, red=10709, ir=9291
time=296, red=10700, ir=9285
time=316, red=10703, ir=9295
time=336, red=10703, ir=9320
time=356, red=10726, ir=9332
time=376, red=10712, ir=9346
time=396, red=10722, ir=9346
time=416, red=10737, ir=9383
time=436, red=10736, ir=9388
time=456, red=10757, ir=9402
time=476, red=10737, ir=9396
time=496, red=10736, ir=9416
time=516, red=10738, ir=9437
time=536, red=10753, ir=9445
time=556, red=10758, ir=9464
time=576, red=10765, ir=9466
time=596, red=10780, ir=9496
time=616, red=10785, ir=9515
time=637, red=53029, ir=59968
time=657, red=53006, ir=59918
time=677, red=53009, ir=59896
time=697, red=53014, ir=59891
time=717, red=53017, ir=59880
time=737, red=52996, ir=59859
time=757, red=53008, ir=59847
time=777, red=53008, ir=59851
time=797, red=53006, ir=59858
time=817, red=53026, ir=59858
time=837, red=53032, ir=59876
time=857, red=53055, ir=59896
time=877, red=53060, ir=59901
time=897, red=53080, ir=59910
time=917, red=53096, ir=59912
time=937, red=53095, ir=59918
time=957, red=53131, ir=59936
time=977, red=53141, ir=59946
time=997, red=53141, ir=59965
time=1017, red=53145, ir=59940
time=1037, red=53157, ir=59951
time=1057, red=53160, ir=59969
time=1077, red=53178, ir=59966
time=1097, red=53178, ir=59969
time=1117, red=53185, ir=59998
time=1137, red=53186, ir=60004
time=1157, red=53214, ir=59998
time=1177, red=53238, ir=60020
time=1197, red=53223, ir=60033
time=1217, red=53235, ir=60044
time=1237, red=53251, ir=60056
time=1257, red=53259, ir=60061
time=1277, red=53250, ir=60057
time=1297, red=53245, ir=60040
time=1317, red=53252, ir=60040
time=1337, red=53278, ir=60068
time=1357, red=53269, ir=60064
time=1377, red=53277, ir=60081
time=1397, red=53272, ir=60063
time=1418, red=53301, ir=60068
time=1438, red=53302, ir=60090
time=1458, red=53315, ir=60112
time=1478, red=53309, ir=60110
time=1498, red=53331, ir=60124
time=1518, red=53338, ir=60127
time=1538, red=53349, ir=60132
time=1558, red=53362, ir=60147
time=1578, red=53354, ir=60153
time=1598, red=53359, ir=60152
time=1618, red=53368, ir=60154
time=1638, red=53361, ir=60163
time=1658, red=53366, ir=60170
time=1678, red=53370, ir=60186
time=1698, red=53392, ir=60180
time=1718, red=53406, ir=60186
time=1738, red=53386, ir=60203
time=1758, red=53397, ir=60220
time=1778, red=53400, ir=60225
time=1798, red=53410, ir=60224
time=1818, red=53415, ir=60219
time=1838, red=53425, ir=60243
time=1858, red=53431, ir=60251
time=1878, red=53420, ir=60247
time=1898, red=53411, ir=60249
time=1918, red=53427, ir=60241
time=1938, red=53426, ir=60232
time=1958, red=53428, ir=60220
time=1978, red=53402, ir=60210
time=1998, red=53414, ir=60185
time=2018, red=53404, ir=60182
time=2038, red=53393, ir=60148
time=2058, red=53387, ir=60130
time=2078, red=53374, ir=60116
time=2098, red=53370, ir=60106
time=2118, red=53368, ir=60073
time=2138, red=53351, ir=60050
time=2158, red=53344, ir=60014
time=2178, red=53344, ir=59998
time=2199, red=53333, ir=59970
time=2219, red=53346, ir=59975
time=2239, red=53348, ir=59975
time=2259, red=53337, ir=59977
time=2279, red=53323, ir=59949
time=2299, red=53329, ir=59939
time=2319, red=53333, ir=59969
time=2339, red=53366, ir=60022
time=2359, red=53395, ir=60066
time=2379, red=53403, ir=60094
time=2399, red=53410, ir=60121
time=2419, red=53433, ir=60124
time=2439, red=53453, ir=60156
time=2459, red=53446, ir=60141
time=2479, red=53456, ir=60131
time=2499, red=53456, ir=60157
time=2519, red=53465, ir=60161
time=2539, red=53486, ir=60189
time=2559, red=53508, ir=60226
time=2579, red=53513, ir=60242
time=2599, red=53521, ir=60249
time=2619, red=53540, ir=60271
time=2639, red=53571, ir=60294
time=2659, red=53593, ir=60316
time=2679, red=53579, ir=60325
time=2699, red=53592, ir=60336
time=2719, red=53600, ir=60358
time=2739, red=53600, ir=60342
time=2759, red=53590, ir=60331
time=2779, red=53590, ir=60304
time=2799, red=53565, ir=60278
time=2819, red=53536, ir=60213
time=2839, red=53502, ir=60115
time=2859, red=53475, ir=60058
time=2879, red=53457, ir=60028
time=2899, red=53439, ir=59956
time=2919, red=53413, ir=59868
time=2939, red=53351, ir=59645
time=2960, red=53282, ir=59376
time=2980, red=53243, ir=59118
time=3000, red=53217, ir=58990
time=3020, red=53217, ir=58871
time=3040, red=53202, ir=58772
time=3060, red=53161, ir=58739
time=3080, red=53116, ir=58801
time=3100, red=53115, ir=58997
time=3120, red=53172, ir=59248
time=3140, red=53203, ir=59262
time=3160, red=53185, ir=58997
time=3180, red=53206, ir=58765
time=3200, red=53185, ir=58726
time=3220, red=53143, ir=58827
time=3240, red=53143, ir=58962
time=3260, red=53158, ir=59068
time=3280, red=53164, ir=59060
time=3300, red=53194, ir=58995
time=3320, red=53206, ir=59008
time=3340, red=53224, ir=59088
time=3360, red=53239, ir=59181
time=3380, red=53254, ir=59247
time=3400, red=53274, ir=59327
time=3420, red=53285, ir=59421
time=3440, red=53332, ir=59529
time=3460, red=53359, ir=59629
time=3480, red=53390, ir=59693
time=3500, red=53428, ir=59779
time=3520, red=53442, ir=59807
time=3540, red=53444, ir=59809
time=3560, red=53451, ir=59833
time=3580, red=53450, ir=59872
time=3600, red=53473, ir=59888
time=3620, red=53471, ir=59852
time=3640, red=53439, ir=59836
time=3660, red=53442, ir=59790
time=3680, red=53421, ir=59776
time=3700, red=53405, ir=59748
time=3721, red=53392, ir=59730
time=3741, red=53383, ir=59717
time=3761, red=53372, ir=59664
time=3781, red=53357, ir=59654
time=3801, red=53344, ir=59620
time=3821, red=53341, ir=59619
time=3841, red=53346, ir=59591
time=3861, red=53346, ir=59612
time=3881, red=53363, ir=59587
time=3901, red=53369, ir=59604
time=3921, red=53376, ir=59608
time=3941, red=53407, ir=59646
time=3961, red=53417, ir=59649
time=3981, red=53432, ir=59665
time=4001, red=53449, ir=59671
time=4021, red=53457, ir=59688
time=4041, red=53467, ir=59694
time=4061, red=53458, ir=59721
time=4081, red=53473, ir=59715
time=4101, red=53471, ir=59708
time=4121, red=53488, ir=59718
time=4141, red=53500, ir=59731
time=4161, red=53488, ir=59742
time=4181, red=53505, ir=59733
time=4201, red=53499, ir=59747
time=4221, red=53509, ir=59740
time=4241, red=53499, ir=59741
time=4261, red=53501, ir=59755
time=4281, red=53511, ir=59759
time=4301, red=53525, ir=59774
time=4321, red=53520, ir=59776
time=4341, red=53540, ir=59783
time=4361, red=53540, ir=59800
time=4381, red=53545, ir=59810
time=4401, red=53537, ir=59815
time=4421, red=53560, ir=59827
time=4441, red=53564, ir=59833
time=4461, red=53569, ir=59891
time=4482, red=53572, ir=59887
time=4502, red=53585, ir=59890
time=4522, red=53597, ir=59946
time=4542, red=53603, ir=59941
time=4562, red=53596, ir=59943
time=4582, red=53602, ir=59956
time=4602, red=53603, ir=59980
time=4622, red=53621, ir=59969
time=4642, red=53601, ir=59984
time=4662, red=53618, ir=59977
time=4682, red=53630, ir=59984
time=4702, red=53633, ir=60001
time=4722, red=53631, ir=60016
time=4742, red=53632, ir=60014
time=4762, red=53644, ir=60014
time=4782, red=53638, ir=60046
time=4802, red=53635, ir=60034
time=4822, red=53635, ir=60059
time=4842, red=53641, ir=60055
time=4862, red=53644, ir=60060
time=4882, red=53651, ir=60067
time=4902, red=53654, ir=60080
time=4922, red=53648, ir=60082
time=4942, red=53652, ir=60094
time=4962, red=53656, ir=60089
time=4982, red=53663, ir=60107
time=5002, red=53668, ir=60136
time=5022, red=53665, ir=60130
time=5042, red=53666, ir=60140
time=5062, red=53665, ir=60126
time=5082, red=53667, ir=60151
time=5102, red=53663, ir=60144
time=5122, red=53673, ir=60174
time=5142, red=53670, ir=60153
time=5162, red=53676, ir=60151
time=5182, red=53652, ir=60145
time=5202, red=53647, ir=60135
time=5222, red=53635, ir=60124
time=5243, red=53633, ir=60113
time=5263, red=53623, ir=60072
time=5283, red=53605, ir=60056
time=5303, red=53591, ir=60041
time=5323, red=53584, ir=60007
time=5343, red=53578, ir=59976
time=5363, red=53548, ir=59953
time=5383, red=53547, ir=59943
time=5403, red=53542, ir=59905
time=5423, red=53539, ir=59891
time=5443, red=53538, ir=59869
time=5463, red=53522, ir=59855
time=5483, red=53508, ir=59831
time=5503, red=53514, ir=59840
time=5523, red=53512, ir=59817
time=5543, red=53537, ir=59828
time=5563, red=53544, ir=59844
time=5583, red=53547, ir=59846
time=5603, red=53565, ir=59860
time=5623, red=53562, ir=59861
time=5643, red=53568, ir=59887
time=5663, red=53597, ir=59906
time=5683, red=53589, ir=59908
time=5703, red=53600, ir=59905
time=5723, red=53603, ir=59918
time=5743, red=53614, ir=59933
time=5763, red=53617, ir=59930
time=5783, red=53622, ir=59950
time=5803, red=53634, ir=59949
time=5823, red=53631, ir=59964
time=5843, red=53635, ir=59971
time=5863, red=53621, ir=59980
time=5883, red=53630, ir=59978
time=5903, red=53632, ir=59982
time=5923, red=53643, ir=59987
time=5943, red=53644, ir=60011
time=5964, red=53646, ir=59987
time=5984, red=53649, ir=60013
time=6004, red=53638, ir=60017
time=6024, red=53651, ir=60023
time=6044, red=53649, ir=60026
time=6064, red=53661, ir=60030
time=6084, red=53670, ir=60045
time=6104, red=53653, ir=60030
time=6124, red=53643, ir=60051
time=6144, red=53644, ir=60021
time=6164, red=53641, ir=60032
time=6184, red=53639, ir=60041
time=6204, red=53641, ir=60054
time=6224, red=53637, ir=60058
time=6244, red=53661, ir=60059
time=6264, red=53642, ir=60079
time=6284, red=53653, ir=60083
time=6304, red=53652, ir=60097
time=6324, red=53651, ir=60088
time=6344, red=53648, ir=60098
time=6364, red=53635, ir=60098
time=6384, red=53650, ir=60094
time=6404, red=53646, ir=60103
time=6424, red=53647, ir=60119
time=6444, red=53653, ir=60122
time=6464, red=53655, ir=60121
time=6484, red=53661, ir=60135
time=6504, red=53650, ir=60148
time=6524, red=53648, ir=60161
time=6544, red=53656, ir=60148
time=6564, red=53660, ir=60170
time=6584, red=53665, ir=60191
time=6604, red=53660, ir=60188
time=6624, red=53674, ir=60199
time=6644, red=53678, ir=60185
time=6664, red=53673, ir=60205
time=6684, red=53671, ir=60204
time=6705, red=53677, ir=60206
time=6725, red=53662, ir=60216
time=6745, red=53672, ir=60218
time=6765, red=53670, ir=60224
time=6785, red=53676, ir=60234
time=6805, red=53664, ir=60240
time=6825, red=53672, ir=60229
time=6845, red=53669, ir=60236
time=6865, red=53656, ir=60221
time=6885, red=53642, ir=60192
time=6905, red=53636, ir=60177
time=6925, red=53621, ir=60157
time=6945, red=53575, ir=60135
time=6965, red=53586, ir=60126
time=6985, red=53566, ir=60095
time=7005, red=53549, ir=60040
time=7025, red=53535, ir=60034
time=7045, red=53524, ir=60021
time=7065, red=53528, ir=60001
time=7085, red=53519, ir=59975
time=7105, red=53501, ir=59964
time=7125, red=53506, ir=59941
time=7145, red=53514, ir=59952
time=7165, red=53513, ir=59924
time=7185, red=53507, ir=59922
time=7205, red=53517, ir=59942
time=7225, red=53539, ir=59951
time=7245, red=53548, ir=59971
time=7265, red=53563, ir=59990
time=7285, red=53575, ir=60012
time=7305, red=53574, ir=60003
time=7325, red=53577, ir=60016
time=7345, red=53574, ir=60030
time=7365, red=53590, ir=60042
time=7385, red=53594, ir=60032
time=7405, red=53596, ir=60040
time=7425, red=53583, ir=60034
time=7445, red=53588, ir=60022
time=7466, red=53593, ir=60032
time=7486, red=53590, ir=60023
time=7506, red=53599, ir=60059
time=7526, red=53598, ir=60060
time=7546, red=53596, ir=60060
time=7566, red=53613, ir=60073
time=7586, red=53613, ir=60085
time=7606, red=53620, ir=60097
time=7626, red=53622, ir=60109
time=7646, red=53624, ir=60113
time=7666, red=53614, ir=60097
time=7686, red=53636, ir=60132
time=7706, red=53624, ir=60134
time=7726, red=53633, ir=60141
time=7746, red=53671, ir=60193
time=7766, red=53666, ir=60195
time=7786, red=53666, ir=60197
time=7806, red=53668, ir=60210
time=7826, red=53677, ir=60203
time=7846, red=53670, ir=60222
time=7866, red=53671, ir=60229
time=7886, red=53674, ir=60241
time=7906, red=53682, ir=60240
time=7926, red=53683, ir=60232
time=7946, red=53686, ir=60249
time=7966, red=53684, ir=60268
time=7986, red=53677, ir=60273
time=8006, red=53697, ir=60283
time=8026, red=53683, ir=60267
time=8046, red=53692, ir=60307
time=8066, red=53703, ir=60301
time=8086, red=53687, ir=60309
time=8106, red=53693, ir=60308
time=8126, red=53683, ir=60315
time=8146, red=53704, ir=60304
time=8166, red=53690, ir=60328
time=8186, red=53701, ir=60326
time=8207, red=53696, ir=60341
time=8227, red=53706, ir=60346
time=8247, red=53705, ir=60371
time=8267, red=53699, ir=60354
time=8287, red=53697, ir=60359
time=8307, red=53695, ir=60374
time=8327, red=53698, ir=60377
time=8347, red=53726, ir=60394
time=8367, red=53721, ir=60382
time=8387, red=53708, ir=60403
time=8407, red=53700, ir=60392
time=8427, red=53682, ir=60400
time=8447, red=53703, ir=60405
time=8467, red=53694, ir=60419
time=8487, red=53704, ir=60429
time=8507, red=53718, ir=60441
time=8527, red=53708, ir=60440
time=8547, red=53706, ir=60438
time=8567, red=53699, ir=60436
time=8587, red=53698, ir=60433
time=8607, red=53694, ir=60433
time=8627, red=53680, ir=60402
time=8647, red=53675, ir=60409
time=8667, red=53667, ir=60393
time=8687, red=53649, ir=60367
time=8707, red=53626, ir=60364
time=8727, red=53625, ir=60342
time=8747, red=53602, ir=60285
time=8767, red=53582, ir=60256
time=8787, red=53573, ir=60238
time=8807, red=53565, ir=60211
time=8827, red=53541, ir=60201
time=8847, red=53530, ir=60177
time=8867, red=53532, ir=60157
time=8887, red=53532, ir=60147
time=8907, red=53518, ir=60136
time=8927, red=53510, ir=60131
time=8948, red=53522, ir=60130
time=8968, red=53526, ir=60129
time=8988, red=53526, ir=60123
time=9008, red=53531, ir=60143
time=9028, red=53529, ir=60136
time=9048, red=53547, ir=60152
time=9068, red=53563, ir=60165
time=9088, red=53565, ir=60170
