AT4T32P3 - Lakota - 5_5_411_50
 red=58418, ir=65811
time=1716, red=55398, ir=62208
time=1736, red=53340, ir=61325
time=1756, red=54440, ir=61781
time=1776, red=54873, ir=61869
time=1796, red=54657, ir=62193
time=1816, red=54823, ir=62770
time=1836, red=53501, ir=62685
time=1856, red=51241, ir=61434
time=1876, red=51261, ir=60711
time=1896, red=53142, ir=60958
time=1916, red=53231, ir=60873
time=1936, red=51453, ir=59366
time=1956, red=51146, ir=58425
time=1976, red=52444, ir=59319
time=1996, red=53099, ir=60148
time=2016, red=49347, ir=59253
time=2036, red=52953, ir=62130
time=2056, red=51040, ir=61936
time=2076, red=51514, ir=62052
time=2096, red=51832, ir=62046
time=2116, red=51825, ir=61969
time=2136, red=51849, ir=61907
time=2156, red=53174, ir=63324
time=2176, red=52908, ir=61371
time=2196, red=52118, ir=59184
time=2216, red=50813, ir=56905
time=2236, red=49226, ir=55763
time=2256, red=48865, ir=55648
time=2276, red=48102, ir=55079
time=2296, red=50835, ir=56218
time=2316, red=48861, ir=56657
time=2336, red=51581, ir=56704
time=2356, red=51340, ir=56534
time=2376, red=52411, ir=57202
time=2397, red=51055, ir=56794
time=2417, red=51256, ir=55822
time=2437, red=52575, ir=57781
time=2457, red=46272, ir=56092
time=2477, red=50886, ir=58401
time=2497, red=47328, ir=57450
time=2517, red=46781, ir=57057
time=2537, red=48002, ir=57648
time=2557, red=48884, ir=57904
time=2577, red=49025, ir=57956
time=2597, red=48941, ir=58064
time=2617, red=48723, ir=58048
time=2637, red=48643, ir=58261
time=2657, red=48970, ir=59045
time=2677, red=49507, ir=60058
time=2697, red=50464, ir=61536
time=2717, red=52229, ir=63371
time=2737, red=56280, ir=65847
time=2757, red=55528, ir=64051
time=2777, red=55406, ir=63699
time=2797, red=58067, ir=64167
time=2817, red=57773, ir=64291
time=2837, red=56134, ir=61500
time=2857, red=56389, ir=62154
time=2877, red=52994, ir=60088
time=2897, red=53051, ir=60633
time=2917, red=52647, ir=59779
time=2937, red=53523, ir=60395
time=2957, red=53272, ir=60374
time=2977, red=52959, ir=60388
time=2997, red=53382, ir=60636
time=3017, red=50547, ir=59611
time=3037, red=51586, ir=63395
time=3057, red=40846, ir=54826
time=3077, red=46358, ir=58481
time=3097, red=48364, ir=61288
time=3117, red=47560, ir=59143
time=3138, red=45552, ir=57650
time=3158, red=49434, ir=61577
time=3178, red=50487, ir=58804
time=3198, red=49954, ir=58745
time=3218, red=51312, ir=58282
time=3238, red=51169, ir=57104
time=3258, red=50584, ir=56294
time=3278, red=51133, ir=56204
time=3298, red=49969, ir=55663
time=3318, red=50372, ir=55669
time=3338, red=51922, ir=56865
time=3358, red=52799, ir=56961
time=3378, red=53271, ir=57265
time=3398, red=51719, ir=56650
time=3418, red=52412, ir=57387
time=3438, red=53289, ir=57647
time=3458, red=52672, ir=57311
time=3478, red=52216, ir=57434
time=3498, red=53771, ir=57115
time=3518, red=53626, ir=57300
time=3538, red=54648, ir=58394
time=3558, red=55464, ir=58123
time=3578, red=54585, ir=58024
time=3598, red=54144, ir=58710
time=3618, red=55063, ir=59784
time=3638, red=54669, ir=59838
time=3658, red=54841, ir=60016
time=3678, red=54766, ir=59647
time=3698, red=54222, ir=59102
time=3718, red=53851, ir=58923
time=3738, red=53785, ir=59119
time=3758, red=53839, ir=59364
time=3778, red=53945, ir=59573
time=3798, red=54054, ir=59833
time=3818, red=54175, ir=60098
time=3838, red=54343, ir=60395
time=3858, red=54579, ir=60701
time=3879, red=54690, ir=60994
time=3899, red=54879, ir=61329
time=3919, red=55595, ir=62505
time=3939, red=56586, ir=64116
time=3959, red=56179, ir=63388
time=3979, red=54101, ir=61255
time=3999, red=56521, ir=62746
time=4019, red=53725, ir=60795
time=4039, red=54642, ir=61462
time=4059, red=55756, ir=61721
time=4079, red=58025, ir=62659
time=4099, red=57101, ir=62787
time=4119, red=56206, ir=61299
time=4139, red=54098, ir=60077
time=4159, red=53824, ir=59609
time=4179, red=52073, ir=58352
time=4199, red=51770, ir=58674
time=4219, red=52311, ir=59361
time=4239, red=52326, ir=59696
time=4259, red=53458, ir=60129
time=4279, red=54121, ir=60502
time=4299, red=54405, ir=60866
time=4319, red=54407, ir=60820
time=4339, red=54499, ir=60968
time=4359, red=55307, ir=61859
time=4379, red=56333, ir=63284
time=4399, red=55493, ir=62646
time=4419, red=51506, ir=59082
time=4439, red=49812, ir=58480
time=4459, red=52868, ir=59857
time=4479, red=53889, ir=59707
time=4499, red=52992, ir=59037
time=4519, red=51596, ir=57958
time=4539, red=51067, ir=57656
time=4559, red=51857, ir=57808
time=4579, red=52828, ir=58095
time=4599, red=53329, ir=58294
time=4620, red=53700, ir=58474
time=4640, red=53891, ir=58506
time=4660, red=53934, ir=58589
time=4680, red=54019, ir=58651
time=4700, red=54058, ir=58724
time=4720, red=54091, ir=58805
time=4740, red=54125, ir=58870
time=4760, red=54167, ir=58929
time=4780, red=54195, ir=59015
time=4800, red=54305, ir=59184
time=4820, red=54392, ir=59334
time=4840, red=54408, ir=59419
time=4860, red=54400, ir=59470
time=4880, red=54401, ir=59514
time=4900, red=54425, ir=59568
time=4920, red=54469, ir=59632
time=4940, red=54670, ir=59868
time=4960, red=54867, ir=60129
time=4980, red=54985, ir=60227
time=5000, red=55073, ir=60322
time=5020, red=55126, ir=60399
time=5040, red=55194, ir=60440
time=5060, red=55164, ir=60409
time=5080, red=55146, ir=60370
time=5100, red=55061, ir=60239
time=5120, red=54935, ir=60033
time=5140, red=54820, ir=59878
time=5160, red=54737, ir=59741
time=5180, red=54688, ir=59684
time=5200, red=54651, ir=59677
time=5220, red=54649, ir=59716
time=5240, red=54635, ir=59743
time=5260, red=54614, ir=59755
time=5280, red=54589, ir=59785
time=5300, red=54585, ir=59825
time=5320, red=54535, ir=59822
time=5340, red=54535, ir=59785
time=5361, red=54497, ir=59756
time=5381, red=54478, ir=59718
time=5401, red=54445, ir=59675
time=5421, red=54429, ir=59677
time=5441, red=54412, ir=59649
time=5461, red=54388, ir=59629
time=5481, red=54360, ir=59609
time=5501, red=54311, ir=59571
time=5521, red=54275, ir=59536
time=5541, red=54260, ir=59515
time=5561, red=54242, ir=59509
time=5581, red=54205, ir=59482
time=5601, red=54179, ir=59477
time=5621, red=54143, ir=59473
time=5641, red=54075, ir=59456
time=5661, red=54049, ir=59454
time=5681, red=54017, ir=59469
time=5701, red=53998, ir=59465
time=5721, red=53988, ir=59443
time=5741, red=53956, ir=59437
time=5761, red=53941, ir=59429
time=5781, red=53935, ir=59429
time=5801, red=53937, ir=59454
time=5821, red=53957, ir=59466
time=5841, red=53934, ir=59486
time=5861, red=53910, ir=59465
time=5881, red=53905, ir=59425
time=5901, red=53869, ir=59408
time=5921, red=53840, ir=59402
time=5941, red=53819, ir=59404
time=5961, red=53807, ir=59418
time=5981, red=53795, ir=59400
time=6001, red=53794, ir=59387
time=6021, red=53780, ir=59385
time=6041, red=53763, ir=59382
time=6062, red=53757, ir=59362
time=6082, red=53739, ir=59358
time=6102, red=53717, ir=59354
time=6122, red=53713, ir=59372
time=6142, red=53704, ir=59371
time=6162, red=53699, ir=59366
time=6182, red=53699, ir=59372
time=6202, red=53692, ir=59377
time=6222, red=53676, ir=59355
time=6242, red=53672, ir=59345
time=6262, red=53662, ir=59350
time=6282, red=53657, ir=59345
time=6302, red=53658, ir=59347
time=6322, red=53664, ir=59358
time=6342, red=53666, ir=59358
time=6362, red=53662, ir=59362
time=6382, red=53658, ir=59371
time=6402, red=53660, ir=59364
time=6422, red=53645, ir=59361
time=6442, red=53641, ir=59354
time=6462, red=53639, ir=59326
time=6482, red=53642, ir=59348
time=6502, red=53636, ir=59339
time=6522, red=53630, ir=59326
time=6542, red=53626, ir=59345
time=6562, red=53640, ir=59357
time=6582, red=53637, ir=59365
time=6602, red=53623, ir=59353
time=6622, red=53615, ir=59346
time=6642, red=53610, ir=59347
time=6662, red=53616, ir=59345
time=6682, red=53616, ir=59351
time=6702, red=53626, ir=59352
time=6722, red=53622, ir=59347
time=6742, red=53630, ir=59368
time=6763, red=53628, ir=59367
time=6783, red=53633, ir=59376
time=6803, red=53634, ir=59380
time=6823, red=53627, ir=59386
time=6843, red=53633, ir=59384
time=6863, red=53640, ir=59390
time=6883, red=53639, ir=59386
time=6903, red=53643, ir=59385
time=6923, red=53651, ir=59386
time=6943, red=53655, ir=59367
time=6963, red=53661, ir=59375
time=6983, red=53643, ir=59355
time=7003, red=53641, ir=59334
time=7023, red=53628, ir=59310
time=7043, red=53633, ir=59295
time=7063, red=53622, ir=59276
time=708time=13572, red=54303, ir=59281
time=13592, red=54270, ir=59270
time=13612, red=54281, ir=59292
time=13632, red=54276, ir=59288
time=13652, red=54267, ir=59282
time=13672, red=54273, ir=59277
time=13693, red=54272, ir=59281
time=13713, red=54272, ir=59272
time=13733, red=54267, ir=59284
time=13753, red=54253, ir=59280
time=13773, red=54271, ir=59283
time=13793, red=54276, ir=59283
time=13813, red=54278, ir=59287
time=13833, red=54273, ir=59309
time=13853, red=54277, ir=59317
time=13873, red=54279, ir=59318
time=13893, red=54298, ir=59319
time=13913, red=54288, ir=59337
time=13933, red=54292, ir=59364
time=13953, red=54290, ir=59372
time=13973, red=54291, ir=59361
time=13993, red=54300, ir=59379
HR=60, SP=64
time=14013, red=54290, ir=59366
time=14033, red=54308, ir=59359
time=14053, red=54307, ir=59384
time=14073, red=54308, ir=59393
time=14093, red=54331, ir=59424
time=14113, red=54318, ir=59440
time=14133, red=54329, ir=59462
time=14153, red=54325, ir=59480
time=14173, red=54327, ir=59500
time=14193, red=54328, ir=59492
time=14213, red=54341, ir=59513
time=14233, red=54328, ir=59524
time=14253, red=54348, ir=59532
time=14273, red=54339, ir=59560
time=14293, red=54352, ir=59565
time=14313, red=54338, ir=59557
time=14333, red=54340, ir=59574
time=14354, red=54349, ir=59585
time=14374, red=54345, ir=59592
time=14394, red=54352, ir=59602
time=14414, red=54342, ir=59606
time=14434, red=54332, ir=59585
time=14454, red=54318, ir=59600
time=14474, red=54323, ir=59595
time=14494, red=54322, ir=59605
time=14514, red=54325, ir=59603
time=14534, red=54316, ir=59601
time=14554, red=54303, ir=59590
time=14574, red=54280, ir=59571
time=14594, red=54287, ir=59549
time=14614, red=54277, ir=59535
time=14634, red=54258, ir=59498
time=14654, red=54256, ir=59472
time=14674, red=54240, ir=59460
time=14694, red=54201, ir=59416
time=14714, red=54208, ir=59398
time=14734, red=54168, ir=59377
time=14754, red=54182, ir=59349
time=14774, red=54176, ir=59349
time=14794, red=54173, ir=59341
time=14814, red=54165, ir=59317
time=14834, red=54172, ir=59328
time=14854, red=54164, ir=59299
time=14874, red=54176, ir=59312
time=14894, red=54174, ir=59305
time=14914, red=54181, ir=59306
time=14934, red=54171, ir=59307
time=14954, red=54172, ir=59287
time=14974, red=54189, ir=59312
time=14994, red=54184, ir=59319
time=15014, red=54197, ir=59304
time=15035, red=54189, ir=59307
time=15055, red=54198, ir=59325
time=15075, red=54206, ir=59324
time=15095, red=54208, ir=59325
time=15115, red=54198, ir=59308
time=15135, red=54192, ir=59299
time=15155, red=54192, ir=59314
time=15175, red=54190, ir=59320
time=15195, red=54185, ir=59310
time=15215, red=54181, ir=59310
time=15235, red=54188, ir=59310
time=15255, red=54177, ir=59328
time=15275, red=54185, ir=59325
time=15295, red=54185, ir=59324
time=15315, red=54170, ir=59328
time=15335, red=54178, ir=59336
time=15355, red=54174, ir=59342
time=15375, red=54171, ir=59348
time=15395, red=54181, ir=59360
time=15415, red=54174, ir=59338
time=15435, red=54179, ir=59348
time=15455, red=54185, ir=59350
time=15475, red=54169, ir=59350
time=15495, red=54176, ir=59356
time=15515, red=54172, ir=59383
time=15535, red=54172, ir=59381
time=15555, red=54169, ir=59399
time=15575, red=54185, ir=59402
time=15595, red=54187, ir=59407
