AT4T33P2 - Lakota - 5_5_411_50
time=29981, red=53723, ir=58393
time=30001, red=53722, ir=58399
time=30021, red=53704, ir=58408
HR=78, SP=92
time=30041, red=53699, ir=58382
time=30061, red=53697, ir=58383
time=30081, red=53712, ir=58396
time=30101, red=53709, ir=58404
time=30121, red=53700, ir=58393
time=30141, red=53720, ir=58402
time=30161, red=53699, ir=58424
time=30181, red=53699, ir=58396
time=30201, red=53676, ir=58378
time=30221, red=53667, ir=58342
time=30241, red=53659, ir=58316
time=30261, red=53661, ir=58305
time=30281, red=53640, ir=58287
time=30301, red=53634, ir=58262
time=30321, red=53625, ir=58249
time=30341, red=53631, ir=58231
time=30361, red=53614, ir=58189
time=30381, red=53602, ir=58155
time=30401, red=53614, ir=58142
time=30421, red=53614, ir=58138
time=30441, red=53629, ir=58140
time=30461, red=53617, ir=58116
time=30481, red=53617, ir=58097
time=30501, red=53616, ir=58087
time=30521, red=53625, ir=58077
time=30541, red=53615, ir=58074
time=30561, red=53625, ir=58096
time=30582, red=53637, ir=58077
time=30602, red=53623, ir=58079
time=30622, red=53635, ir=58061
time=30642, red=53662, ir=58092
time=30662, red=53664, ir=58118
time=30682, red=53682, ir=58105
time=30702, red=53675, ir=58125
time=30722, red=53687, ir=58135
time=30742, red=53690, ir=58155
time=30762, red=53693, ir=58150
time=30782, red=53701, ir=58176
time=30802, red=53695, ir=58182
time=30822, red=53714, ir=58200
time=30842, red=53722, ir=58224
time=30862, red=53744, ir=58239
time=30882, red=53743, ir=58248
time=30902, red=53745, ir=58263
time=30922, red=53747, ir=58284
time=30942, red=53751, ir=58298
time=30962, red=53761, ir=58301
time=30982, red=53753, ir=58302
time=31002, red=53744, ir=58292
time=31022, red=53759, ir=58298
time=31042, red=53745, ir=58306
time=31062, red=53757, ir=58332
time=31082, red=53763, ir=58336
time=31102, red=53768, ir=58346
time=31122, red=53783, ir=58348
time=31142, red=53782, ir=58363
time=31162, red=53778, ir=58372
time=31182, red=53788, ir=58393
time=31202, red=53781, ir=58405
time=31222, red=53791, ir=58413
time=31242, red=53783, ir=58400
time=31262, red=53783, ir=58383
time=31282, red=53777, ir=58375
time=31302, red=53767, ir=58368
time=31323, red=53763, ir=58346
time=31343, red=53755, ir=58315
time=31363, red=53750, ir=58319
time=31383, red=53734, ir=58316
time=31403, red=53745, ir=58316
time=31423, red=53750, ir=58324
time=31443, red=53732, ir=58297
time=31463, red=53734, ir=58312
time=31483, red=53747, ir=58323
time=31503, red=53731, ir=58327
time=31523, red=53738, ir=58338
time=31543, red=53740, ir=58326
time=31563, red=53736, ir=58303
time=31583, red=53730, ir=58276
time=31603, red=53721, ir=58263
time=31623, red=53702, ir=58240
time=31643, red=53697, ir=58244
time=31663, red=53712, ir=58241
time=31683, red=53718, ir=58285
time=31703, red=53723, ir=58322
time=31723, red=53747, ir=58352
time=31743, red=53764, ir=58381
time=31763, red=53778, ir=58406
time=31783, red=53772, ir=58392
time=31803, red=53754, ir=58345
time=31823, red=53772, ir=58356
time=31843, red=53756, ir=58341
time=31863, red=53778, ir=58345
time=31883, red=53767, ir=58330
time=31903, red=53783, ir=58333
time=31923, red=53742, ir=58282
time=31943, red=53739, ir=58235
time=31963, red=53716, ir=58191
time=31983, red=53722, ir=58163
time=32003, red=53708, ir=58163
time=32023, red=53718, ir=58161
HR=78, SP=93
time=32048, red=53722, ir=58157
time=32064, red=53718, ir=58144
time=32084, red=53716, ir=58139
time=32104, red=53730, ir=58165
time=32124, red=53754, ir=58210
time=32144, red=53758, ir=58244
time=32164, red=53764, ir=58248
time=32184, red=53786, ir=58267
time=32204, red=53772, ir=58264
time=32224, red=53757, ir=58242
time=32244, red=53780, ir=58280
time=32264, red=53785, ir=58291
time=32284, red=53791, ir=58305
time=32304, red=53791, ir=58331
time=32324, red=53786, ir=58325
time=32344, red=53768, ir=58300
time=32364, red=53774, ir=58302
time=32384, red=53784, ir=58315
time=32404, red=53778, ir=58331
time=32424, red=53791, ir=58346
time=32444, red=53783, ir=58371
time=32464, red=53802, ir=58390
time=32484, red=53798, ir=58403
time=32504, red=53806, ir=58417
time=32524, red=53805, ir=58434
time=32544, red=53827, ir=58462
time=32564, red=53828, ir=58481
time=32584, red=53828, ir=58476
time=32604, red=53815, ir=58460
time=32624, red=53828, ir=58474
time=32644, red=53830, ir=58513
time=32664, red=53842, ir=58532
