AT4T34P2 - Bandit - 5_5_411_50
time=11303, red=48813, ir=54199
time=11323, red=48811, ir=54197
time=11343, red=48808, ir=54170
time=11363, red=48807, ir=54187
time=11383, red=48804, ir=54173
time=11403, red=48800, ir=54197
time=11423, red=48808, ir=54195
time=11443, red=48803, ir=54211
time=11463, red=48813, ir=54207
time=11483, red=48818, ir=54231
time=11503, red=48824, ir=54241
time=11523, red=48821, ir=54257
time=11543, red=48841, ir=54239
time=11563, red=48833, ir=54242
time=11583, red=48812, ir=54240
time=11603, red=48810, ir=54227
time=11623, red=48832, ir=54254
time=11643, red=48827, ir=54268
time=11663, red=48841, ir=54279
time=11683, red=48841, ir=54295
time=11703, red=48840, ir=54298
time=11723, red=48838, ir=54289
time=11743, red=48855, ir=54316
time=11764, red=48873, ir=54320
time=11784, red=48871, ir=54326
time=11804, red=48883, ir=54334
time=11824, red=48875, ir=54327
time=11844, red=48861, ir=54337
time=11864, red=48840, ir=54313
time=11884, red=48855, ir=54319
time=11904, red=48850, ir=54321
time=11924, red=48853, ir=54341
time=11944, red=48863, ir=54346
time=11964, red=48843, ir=54348
time=11984, red=48851, ir=54341
HR=90, SP=96
time=12009, red=48853, ir=54369
time=12024, red=48870, ir=54380
time=12044, red=48852, ir=54384
time=12064, red=48870, ir=54375
time=12084, red=48855, ir=54398
time=12104, red=48871, ir=54401
time=12124, red=48873, ir=54412
time=12144, red=48866, ir=54406
time=12164, red=48870, ir=54413
time=12184, red=48881, ir=54418
time=12204, red=48868, ir=54397
time=12224, red=48878, ir=54400
time=12244, red=48856, ir=54372
time=12264, red=48848, ir=54355
time=12284, red=48845, ir=54355
time=12304, red=48853, ir=54359
time=12324, red=48835, ir=54335
time=12344, red=48820, ir=54306
time=12365, red=48784, ir=54267
time=12385, red=48787, ir=54224
time=12405, red=48781, ir=54212
time=12425, red=48757, ir=54173
time=12445, red=48744, ir=54142
time=12465, red=48730, ir=54101
time=12485, red=48724, ir=54079
time=12505, red=48725, ir=54067
