AT4T3 - Chris- (25,15)
























Press any key to start conversion
























Press any key to start conversion
time=1, red=58401, ir=58314
time=9, red=74560, ir=74604
time=19, red=90970, ir=91010
time=29, red=107367, ir=107307
time=39, red=123739, ir=123694
time=49, red=140216, ir=140059
time=59, red=156634, ir=156468
time=69, red=172881, ir=170832
time=79, red=189109, ir=170452
time=89, red=205594, ir=170438
time=99, red=208733, ir=170432
time=109, red=208715, ir=170429
time=119, red=208722, ir=170421
time=129, red=208706, ir=170397
time=139, red=208681, ir=170411
time=149, red=208671, ir=170405
time=159, red=208671, ir=170401
time=169, red=208657, ir=170398
time=179, red=208666, ir=170402
time=189, red=208638, ir=170404
time=199, red=208654, ir=170394
time=209, red=208646, ir=170424
time=219, red=208633, ir=170419
time=229, red=208638, ir=170399
time=239, red=208615, ir=170388
time=249, red=208639, ir=170424
time=259, red=208617, ir=170442
time=269, red=208640, ir=170433
time=279, red=208616, ir=170427
time=289, red=208608, ir=170431
time=299, red=208602, ir=170428
time=309, red=208590, ir=170411
time=319, red=204480, ir=167885
time=329, red=204460, ir=167876
time=339, red=204441, ir=167880
time=349, red=204426, ir=167849
time=359, red=204395, ir=167880
time=369, red=204392, ir=167881
time=379, red=204438, ir=167892
time=389, red=204461, ir=167916
time=399, red=204460, ir=167929
time=409, red=204439, ir=167922
time=419, red=204433, ir=167928
time=429, red=204430, ir=167914
time=439, red=204395, ir=167900
time=449, red=204361, ir=167895
time=459, red=204348, ir=167868
time=469, red=204339, ir=167843
time=479, red=204332, ir=167817
time=489, red=204286, ir=167772
time=499, red=204269, ir=167704
time=509, red=204255, ir=167672
time=519, red=204204, ir=167602
time=529, red=204167, ir=167542
time=539, red=204125, ir=167481
time=549, red=204080, ir=167413
time=559, red=204049, ir=167340
time=569, red=204027, ir=167290
time=579, red=203966, ir=167220
time=589, red=203970, ir=167140
time=599, red=203955, ir=167073
time=609, red=203921, ir=166987
time=619, red=203891, ir=166934
time=629, red=203868, ir=166857
time=639, red=203837, ir=166789
time=649, red=203814, ir=166730
time=659, red=203810, ir=166674
time=669, red=203805, ir=166630
time=679, red=203806, ir=166602
time=689, red=203831, ir=166549
