AT4T4P1 - Lakota -(7,10)
























Press any key to start conversion
time=1, red=58238, ir=58079
time=5, red=74523, ir=74400
time=15, red=76568, ir=90949
time=25, red=76578, ir=107246
time=35, red=76565, ir=123640
time=45, red=76555, ir=128730
time=55, red=76558, ir=128709
time=65, red=76560, ir=128712
time=75, red=76541, ir=128687
time=85, red=76519, ir=128640
time=95, red=76523, ir=128643
time=105, red=76519, ir=128619
time=115, red=76524, ir=128603
time=125, red=76528, ir=128598
time=135, red=76519, ir=128590
time=145, red=76526, ir=128561
time=155, red=76511, ir=128526
time=165, red=76538, ir=128528
time=175, red=76505, ir=128520
time=185, red=76503, ir=128502
time=195, red=76517, ir=128495
time=205, red=76518, ir=128485
time=215, red=76510, ir=128470
time=225, red=76518, ir=128449
time=235, red=76510, ir=128444
time=245, red=76512, ir=128430
time=255, red=76521, ir=128421
time=265, red=76506, ir=128403
time=275, red=76510, ir=128383
time=285, red=76522, ir=128387
time=295, red=76525, ir=128418
time=305, red=76537, ir=128408
time=315, red=77055, ir=129053
time=325, red=77043, ir=129062
time=335, red=77048, ir=129071
time=345, red=77045, ir=129076
time=355, red=77055, ir=129088
time=365, red=77058, ir=129065
time=375, red=77031, ir=129075
time=385, red=77029, ir=129041
time=395, red=76991, ir=128966
time=405, red=76976, ir=128962
time=415, red=77009, ir=129024
time=425, red=77006, ir=129056
time=435, red=77028, ir=129058
time=445, red=77022, ir=129069
time=455, red=77041, ir=129090
time=465, red=77028, ir=129077
time=475, red=77013, ir=129070
time=485, red=77011, ir=129066
time=495, red=77002, ir=129060
time=505, red=77027, ir=129078
time=515, red=77019, ir=129101
time=525, red=77005, ir=129072
time=535, red=77007, ir=129069
time=545, red=76988, ir=129055
time=555, red=77000, ir=129081
time=565, red=76992, ir=129084
time=575, red=77011, ir=129116
time=585, red=77026, ir=129136
time=595, red=77017, ir=129139
time=605, red=77016, ir=129166
time=615, red=77052, ir=129191
time=625, red=77039, ir=129189
time=635, red=77026, ir=129179
time=645, red=77026, ir=129167
time=655, red=77037, ir=129204
time=665, red=77065, ir=129241
time=675, red=77075, ir=129260
time=685, red=77071, ir=129263
time=695, red=77060, ir=129244
time=705, red=77050, ir=129226
time=715, red=77072, ir=129259
time=725, red=77066, ir=129273
time=735, red=77071, ir=129286
time=745, red=77078, ir=129284
time=755, red=77077, ir=129278
time=764, red=77067, ir=129284
time=774, red=77044, ir=129247
time=784, red=77060, ir=129228
time=794, red=77037, ir=129245
time=804, red=77039, ir=129229
time=814, red=77051, ir=129243
time=824, red=77048, ir=129222
time=834, red=77053, ir=129218
time=844, red=77054, ir=129224
time=854, red=77044, ir=129185
time=864, red=77034, ir=129163
time=874, red=77046, ir=129146
time=884, red=77023, ir=129103
time=894, red=77031, ir=129096
time=904, red=77032, ir=129078
time=914, red=77021, ir=129095
time=924, red=77040, ir=129081
time=934, red=77037, ir=129090
time=944, red=77021, ir=129090
time=954, red=77041, ir=129076
time=964, red=77040, ir=129061
time=974, red=77068, ir=129057
time=984, red=77037, ir=129045
time=994, red=77057, ir=129054
time=1004, red=77040, ir=129025
time=1014, red=77039, ir=128998
time=1024, red=77032, ir=128985
time=1034, red=77033, ir=128975
time=1044, red=77020, ir=128939
time=1054, red=77003, ir=128929
time=1064, red=77024, ir=128914
time=1074, red=77026, ir=128957
time=1084, red=77025, ir=128926
time=1094, red=77035, ir=128940
time=1104, red=77032, ir=128910
time=1114, red=77022, ir=128898
time=1124, red=77034, ir=128941
time=1134, red=77048, ir=128962
time=1144, red=77065, ir=128961
time=1154, red=77060, ir=128976
time=1164, red=77059, ir=128955
time=1174, red=77038, ir=128964
time=1184, red=77055, ir=128979
time=1194, red=77048, ir=128948
time=1204, red=77043, ir=128967
time=1214, red=77043, ir=128962
time=1224, red=77044, ir=128964
time=1234, red=77054, ir=128989
time=1244, red=77058, ir=128994
time=1254, red=77054, ir=128984
time=1264, red=77066, ir=128990
time=1274, red=77069, ir=128997
time=1284, red=77064, ir=128999
time=1294, red=77071, ir=128989
time=1304, red=77056, ir=128989
time=1314, red=77050, ir=128958
time=1324, red=77050, ir=128998
time=1334, red=77071, ir=129053
time=1344, red=77069, ir=129056
time=1354, red=77086, ir=129048
time=1364, red=77076, ir=129054
time=1374, red=77088, ir=129072
time=1384, red=77080, ir=129075
time=1394, red=77078, ir=129075
time=1404, red=77089, ir=129098
time=1414, red=77086, ir=129087
time=1424, red=77082, ir=129094
time=1434, red=77087, ir=129074
time=1444, red=77098, ir=129092
time=1454, red=77101, ir=129089
time=1464, red=77076, ir=129092
time=1474, red=77094, ir=129079
time=1484, red=77097, ir=129095
time=1494, red=77079, ir=129107
time=1504, red=77082, ir=129095
time=1514, red=77084, ir=129077
time=1524, red=77076, ir=129077
time=1534, red=77069, ir=129085
time=1544, red=77084, ir=129086
time=1554, red=77082, ir=129086
time=1564, red=77064, ir=129076
time=1574, red=77064, ir=129069
time=1584, red=77072, ir=129061
time=1594, red=77067, ir=129094
time=1604, red=77076, ir=129093
time=1614, red=77056, ir=129084
time=1624, red=77076, ir=129107
time=1634, red=77068, ir=129111
time=1644, red=77075, ir=129115
time=1654, red=77087, ir=129149
time=1664, red=77083, ir=129153
time=1674, red=77077, ir=129147
time=1684, red=77070, ir=129126
time=1694, red=77084, ir=129149
time=1704, red=77078, ir=129154
time=1714, red=77080, ir=129172
time=1724, red=77084, ir=129167
time=1734, red=77075, ir=129197
time=1744, red=77096, ir=129212
time=1754, red=77090, ir=129219
time=1764, red=77101, ir=129221
time=1774, red=77096, ir=129211
time=1784, red=77094, ir=129225
time=1794, red=77081, ir=129215
time=1804, red=77084, ir=129188
time=1814, red=77098, ir=129212
time=1824, red=77094, ir=129241
time=1834, red=77087, ir=129179
time=1844, red=77056, ir=129186
time=1854, red=77046, ir=129202
time=1864, red=77017, ir=129096
time=1874, red=77051, ir=129205
time=1884, red=77092, ir=129261
time=1894, red=77008, ir=129168
time=1904, red=76839, ir=128711
time=1914, red=77005, ir=129045
time=1924, red=77071, ir=129210
time=1934, red=77092, ir=129261
time=1944, red=77092, ir=129250
time=1954, red=77106, ir=129317
time=1964, red=77102, ir=129326
time=1974, red=77100, ir=129293
time=1984, red=77088, ir=129308
time=1994, red=77091, ir=129282
time=2004, red=77082, ir=129294
time=2014, red=77097, ir=129296
time=2024, red=77102, ir=129325
time=2034, red=77123, ir=129360
time=2044, red=77123, ir=129374
time=2054, red=77127, ir=129371
time=2064, red=77129, ir=129381
time=2074, red=77128, ir=129400
time=2084, red=77135, ir=129396
time=2094, red=77116, ir=129408
time=2104, red=77124, ir=129430
time=2114, red=77145, ir=129454
time=2124, red=77142, ir=129422
time=2134, red=77134, ir=129443
time=2144, red=77136, ir=129453
time=2154, red=77147, ir=129444
time=2164, red=77116, ir=129421
time=2174, red=77110, ir=129430
time=2184, red=77121, ir=129440
time=2194, red=77124, ir=129424
time=2204, red=77094, ir=129413
time=2214, red=77123, ir=129394
time=2224, red=77105, ir=129396
time=2234, red=77096, ir=129369
time=2244, red=77085, ir=129366
time=2254, red=77080, ir=129338
time=2264, red=77072, ir=129322
time=2274, red=77058, ir=129336
time=2283, red=77089, ir=129340
time=2293, red=77110, ir=129351
time=2303, red=77089, ir=129348
time=2313, red=77086, ir=129343
time=2323, red=77067, ir=129294
time=2333, red=77065, ir=129269
time=2343, red=77054, ir=129241
time=2353, red=77058, ir=129213
time=2363, red=77076, ir=129218
time=2373, red=77067, ir=129206
time=2383, red=77061, ir=129200
time=2393, red=77066, ir=129172
time=2403, red=77056, ir=129170
time=2413, red=77043, ir=129152
time=2423, red=77056, ir=129140
time=2433, red=77051, ir=129128
time=2443, red=77060, ir=129145
time=2453, red=77012, ir=129073
time=2463, red=77011, ir=129049
time=2473, red=77034, ir=129062
time=2483, red=77051, ir=129098
time=2493, red=77042, ir=129089
time=2503, red=77040, ir=129105
time=2513, red=77050, ir=129088
time=2523, red=77068, ir=129105
time=2533, red=77067, ir=129093
time=2543, red=77032, ir=129066
time=2553, red=77029, ir=128998
time=2563, red=76959, ir=128730
time=2573, red=76907, ir=128727
time=2583, red=76908, ir=128784
time=2593, red=76448, ir=128276
time=2603, red=71220, ir=127263
time=2613, red=77013, ir=129028
time=2623, red=77078, ir=129128
time=2633, red=77084, ir=129137
time=2643, red=77091, ir=129132
time=2653, red=77083, ir=129157
time=2663, red=77089, ir=129146
time=2673, red=77085, ir=129133
time=2683, red=77059, ir=129093
time=2693, red=77060, ir=129110
time=2703, red=77061, ir=129109
time=2713, red=77086, ir=129136
time=2723, red=77084, ir=129177
time=2733, red=77061, ir=128948
time=2743, red=77008, ir=129080
time=2753, red=77103, ir=129215
time=2763, red=77112, ir=129185
time=2773, red=77146, ir=129278
time=2783, red=77130, ir=129260
time=2793, red=77130, ir=129259
time=2803, red=77130, ir=129263
time=2813, red=77132, ir=129274
time=2823, red=77120, ir=129272
time=2833, red=77137, ir=129278
time=2843, red=77125, ir=129240
time=2853, red=77125, ir=129249
time=2863, red=77105, ir=129252
time=2873, red=77117, ir=129261
time=2883, red=77106, ir=129247
time=2893, red=77090, ir=129265
time=2903, red=77124, ir=129273
time=2913, red=77110, ir=129276
time=2923, red=77118, ir=129279
time=2933, red=77119, ir=129295
time=2943, red=77105, ir=129294
