AT4T5P1 - Lakota - (10,7) - tongue movement at beginning
























Press any key to start conversion
























Press any key to start conversion
time=1, red=58154, ir=58113
time=5, red=74635, ir=74569
time=14, red=90985, ir=86180
time=24, red=107343, ir=85747
time=34, red=110073, ir=85761
time=44, red=110063, ir=85759
time=54, red=110072, ir=85768
time=64, red=110071, ir=85774
time=74, red=110074, ir=85778
time=84, red=110079, ir=85784
time=94, red=110087, ir=85797
time=104, red=110084, ir=85794
time=114, red=110092, ir=85790
time=124, red=110085, ir=85779
time=134, red=110075, ir=85796
time=144, red=110084, ir=85795
time=154, red=110092, ir=85793
time=164, red=110096, ir=85799
time=174, red=110099, ir=85815
time=184, red=110109, ir=85812
time=194, red=110111, ir=85816
time=204, red=110099, ir=85802
time=214, red=110096, ir=85816
time=224, red=110079, ir=85811
time=234, red=110116, ir=85818
time=244, red=110100, ir=85827
time=254, red=110106, ir=85836
time=264, red=110119, ir=85844
time=274, red=110122, ir=85850
time=284, red=110129, ir=85859
time=294, red=110122, ir=85866
time=304, red=110127, ir=85871
time=314, red=110774, ir=86575
time=324, red=110741, ir=86562
time=334, red=110742, ir=86579
time=344, red=110750, ir=86567
time=354, red=110728, ir=86567
time=364, red=110744, ir=86574
time=374, red=110753, ir=86592
time=384, red=110749, ir=86583
time=394, red=110754, ir=86591
time=404, red=110764, ir=86596
time=414, red=110767, ir=86612
time=424, red=110766, ir=86595
time=434, red=110782, ir=86611
time=444, red=110789, ir=86616
time=454, red=110772, ir=86615
time=464, red=110783, ir=86624
time=474, red=110779, ir=86612
time=484, red=110781, ir=86613
time=494, red=110775, ir=86616
time=504, red=110767, ir=86609
time=514, red=110767, ir=86615
time=524, red=110768, ir=86629
time=534, red=110761, ir=86620
time=544, red=110755, ir=86610
time=554, red=110771, ir=86628
time=564, red=110762, ir=86640
time=574, red=110755, ir=86621
time=584, red=110753, ir=86632
time=594, red=110762, ir=86622
time=604, red=110761, ir=86628
time=614, red=110775, ir=86655
time=624, red=110764, ir=86634
time=634, red=110762, ir=86639
time=644, red=110748, ir=86627
time=654, red=110738, ir=86632
time=664, red=110747, ir=86621
time=674, red=110736, ir=86632
time=684, red=110731, ir=86616
time=694, red=110739, ir=86632
time=704, red=110734, ir=86612
time=714, red=110727, ir=86618
time=724, red=110721, ir=86594
time=734, red=110699, ir=86606
time=744, red=110708, ir=86616
time=754, red=110710, ir=86629
time=764, red=110722, ir=86622
time=774, red=110728, ir=86646
time=784, red=110730, ir=86653
time=794, red=110765, ir=86677
time=804, red=110794, ir=86687
time=814, red=110815, ir=86719
time=824, red=110840, ir=86732
time=834, red=110848, ir=86757
time=844, red=110858, ir=86788
time=854, red=110876, ir=86784
time=864, red=110881, ir=86787
time=874, red=110896, ir=86801
time=884, red=110901, ir=86816
time=894, red=110923, ir=86829
time=904, red=110931, ir=86823
time=914, red=110925, ir=86841
time=924, red=110905, ir=86825
time=934, red=110915, ir=86832
time=944, red=110900, ir=86810
time=954, red=110885, ir=86810
time=964, red=110873, ir=86803
time=974, red=110873, ir=86806
time=984, red=110860, ir=86793
time=994, red=110852, ir=86802
time=1004, red=110851, ir=86788
time=1014, red=110838, ir=86789
time=1024, red=110829, ir=86788
time=1034, red=110828, ir=86769
time=1044, red=110821, ir=86773
time=1054, red=110813, ir=86787
time=1064, red=110817, ir=86771
time=1074, red=110798, ir=86774
time=1084, red=110789, ir=86771
time=1094, red=110793, ir=86765
time=1104, red=110783, ir=86773
time=1114, red=110771, ir=86768
time=1124, red=110788, ir=86758
time=1134, red=110766, ir=86762
time=1144, red=110765, ir=86771
time=1154, red=110769, ir=86763
time=1164, red=110757, ir=86761
time=1174, red=110767, ir=86758
time=1184, red=110761, ir=86744
time=1194, red=110753, ir=86731
time=1204, red=110719, ir=86711
time=1214, red=110723, ir=86722
time=1224, red=110727, ir=86709
time=1234, red=110722, ir=86708
time=1244, red=110702, ir=86682
time=1254, red=110710, ir=86683
time=1264, red=110717, ir=86684
time=1274, red=110693, ir=86669
time=1284, red=110695, ir=86649
time=1294, red=110684, ir=86639
time=1304, red=110683, ir=86609
time=1314, red=110670, ir=86615
time=1324, red=110672, ir=86616
time=1334, red=110695, ir=86629
time=1344, red=110692, ir=86624
time=1354, red=110701, ir=86603
time=1364, red=110707, ir=86589
time=1374, red=110700, ir=86586
time=1384, red=110696, ir=86575
time=1394, red=110702, ir=86579
time=1404, red=110696, ir=86555
time=1414, red=110690, ir=86556
time=1424, red=110712, ir=86552
time=1434, red=110706, ir=86561
time=1444, red=110720, ir=86560
time=1454, red=110727, ir=86550
time=1464, red=110733, ir=86556
time=1474, red=110740, ir=86562
time=1484, red=110760, ir=86575
time=1494, red=110775, ir=86573
time=1504, red=110775, ir=86575
time=1514, red=110757, ir=86556
time=1524, red=110779, ir=86576
time=1534, red=110783, ir=86562
time=1544, red=110763, ir=86560
time=1554, red=110783, ir=86568
time=1564, red=110797, ir=86566
time=1574, red=110808, ir=86564
time=1584, red=110795, ir=86585
time=1594, red=110811, ir=86566
time=1604, red=110809, ir=86577
time=1614, red=110817, ir=86581
time=1624, red=110822, ir=86596
time=1634, red=110830, ir=86602
time=1644, red=110832, ir=86596
time=1654, red=110825, ir=86604
time=1664, red=110819, ir=86610
time=1674, red=110838, ir=86624
time=1684, red=110854, ir=86623
time=1694, red=110843, ir=86618
time=1704, red=110838, ir=86605
time=1714, red=110839, ir=86631
time=1724, red=110853, ir=86634
time=1734, red=110889, ir=86658
time=1744, red=110901, ir=86671
time=1754, red=110912, ir=86675
time=1764, red=110902, ir=86689
time=1774, red=110907, ir=86668
time=1784, red=110903, ir=86654
time=1794, red=110898, ir=86676
time=1804, red=110886, ir=86670
time=1814, red=110887, ir=86658
time=1824, red=110884, ir=86677
time=1834, red=110879, ir=86664
time=1844, red=110880, ir=86654
time=1854, red=110863, ir=86640
time=1864, red=110864, ir=86666
time=1874, red=110883, ir=86655
time=1884, red=110849, ir=86645
time=1894, red=110879, ir=86659
time=1904, red=110893, ir=86666
time=1914, red=110889, ir=86673
time=1924, red=110883, ir=86662
time=1934, red=110877, ir=86654
time=1944, red=110876, ir=86653
time=1954, red=110862, ir=86639
time=1964, red=110852, ir=86646
time=1974, red=110853, ir=86640
time=1984, red=110852, ir=86638
time=1994, red=110852, ir=86650
time=2004, red=110852, ir=86656
time=2014, red=110855, ir=86660
time=2024, red=110868, ir=86670
time=2034, red=110883, ir=86676
time=2044, red=110888, ir=86667
time=2054, red=110871, ir=86687
time=2064, red=110877, ir=86681
time=2074, red=110890, ir=86680
time=2084, red=110887, ir=86682
time=2094, red=110900, ir=86704
time=2104, red=110907, ir=86705
time=2114, red=110910, ir=86704
time=2124, red=110902, ir=86706
time=2134, red=110892, ir=86706
time=2144, red=110898, ir=86698
time=2154, red=110895, ir=86702
time=2164, red=110898, ir=86713
time=2174, red=110887, ir=86716
time=2184, red=110898, ir=86713
time=2194, red=110894, ir=86729
time=2204, red=110906, ir=86718
time=2214, red=110901, ir=86734
time=2224, red=110911, ir=86731
time=2234, red=110902, ir=86728
time=2244, red=110895, ir=86753
time=2254, red=110917, ir=86749
time=2264, red=110918, ir=86750
time=2274, red=110908, ir=86748
time=2284, red=110905, ir=86761
time=2294, red=110911, ir=86761
time=2304, red=110901, ir=86760
time=2314, red=110909, ir=86750
time=2324, red=110909, ir=86768
time=2334, red=110906, ir=86763
time=2344, red=110898, ir=86762
time=2354, red=110913, ir=86769
time=2364, red=110894, ir=86750
time=2374, red=110891, ir=86766
time=2384, red=110892, ir=86756
time=2394, red=110889, ir=86752
time=2404, red=110905, ir=86762
time=2414, red=110907, ir=86770
time=2424, red=110909, ir=86788
time=2434, red=110919, ir=86790
time=2444, red=110922, ir=86792
time=2454, red=110910, ir=86793
time=2464, red=110902, ir=86785
time=2474, red=110896, ir=86793
time=2484, red=110892, ir=86791
time=2494, red=110915, ir=86807
time=2504, red=110924, ir=86814
time=2514, red=110932, ir=86815
time=2524, red=110919, ir=86804
time=2534, red=110935, ir=86831
time=2544, red=110936, ir=86813
time=2554, red=110943, ir=86842
time=2564, red=110929, ir=86824
time=2574, red=110927, ir=86842
time=2584, red=110926, ir=86838
time=2594, red=110914, ir=86835
time=2604, red=110903, ir=86832
time=2614, red=110898, ir=86811
time=2624, red=110890, ir=86816
time=2634, red=110872, ir=86802
time=2644, red=110892, ir=86807
time=2654, red=110884, ir=86806
time=2664, red=110896, ir=86830
time=2674, red=110891, ir=86818
time=2684, red=110891, ir=86837
time=2694, red=110880, ir=86813
time=2704, red=110875, ir=86811
time=2714, red=110884, ir=86816
time=2724, red=110887, ir=86816
time=2734, red=110869, ir=86791
time=2744, red=110871, ir=86780
time=2754, red=110855, ir=86770
time=2764, red=110855, ir=86777
time=2774, red=110838, ir=86764
time=2784, red=110865, ir=86758
time=2794, red=110846, ir=86739
time=2804, red=110813, ir=86720
time=2814, red=110822, ir=86709
time=2824, red=110798, ir=86693
time=2834, red=110786, ir=86687
time=2844, red=110782, ir=86673
time=2854, red=110796, ir=86671
time=2864, red=110789, ir=86666
time=2874, red=110797, ir=86643
time=2884, red=110795, ir=86638
time=2894, red=110801, ir=86629
time=2904, red=110774, ir=86628
time=2914, red=110795, ir=86627
time=2924, red=110783, ir=86605
time=2934, red=110796, ir=86608
time=2944, red=110798, ir=86603
time=2954, red=110790, ir=86585
time=2964, red=110793, ir=86595
time=2974, red=110792, ir=86587
time=2984, red=110801, ir=86564
time=2994, red=110789, ir=86562
time=3004, red=110782, ir=86554
time=3014, red=110787, ir=86561
time=3024, red=110788, ir=86559
time=3034, red=110782, ir=86550
time=3044, red=110796, ir=86543
time=3054, red=110773, ir=86523
time=3064, red=110779, ir=86508
time=3074, red=110775, ir=86508
time=3084, red=110780, ir=86511
time=3094, red=110793, ir=86508
time=3104, red=110790, ir=86523
time=3114, red=110786, ir=86511
time=3124, red=110796, ir=86515
time=3134, red=110769, ir=86507
time=3144, red=110787, ir=86515
time=3154, red=110782, ir=86504
time=3164, red=110785, ir=86494
time=3174, red=110764, ir=86514
time=3184, red=110782, ir=86520
time=3194, red=110784, ir=86512
time=3204, red=110816, ir=86517
time=3214, red=110800, ir=86527
time=3224, red=110813, ir=86527
time=3234, red=110807, ir=86541
time=3244, red=110817, ir=86539
time=3254, red=110829, ir=86545
time=3264, red=110842, ir=86557
time=3274, red=110815, ir=86561
time=3284, red=110817, ir=86541
time=3294, red=110802, ir=86542
time=3304, red=110803, ir=86550
time=3314, red=110813, ir=86558
time=3324, red=110830, ir=86562
time=3334, red=110815, ir=86553
time=3344, red=110823, ir=86571
time=3354, red=110828, ir=86567
time=3364, red=110835, ir=86566
time=3374, red=110839, ir=86571
time=3384, red=110855, ir=86576
time=3394, red=110837, ir=86575
time=3404, red=110832, ir=86561
time=3414, red=110827, ir=86579
time=3424, red=110824, ir=86565
time=3434, red=110823, ir=86574
time=3444, red=110833, ir=86571
time=3454, red=110827, ir=86586
time=3464, red=110845, ir=86577
time=3474, red=110843, ir=86595
time=3484, red=110870, ir=86578
time=3494, red=110862, ir=86604
time=3503, red=110882, ir=86611
time=3513, red=110877, ir=86617
time=3523, red=110877, ir=86629
time=3533, red=110876, ir=86617
time=3543, red=110890, ir=86619
time=3553, red=110877, ir=86644
time=3563, red=110874, ir=86644
time=3573, red=110882, ir=86639
time=3583, red=110899, ir=86646
time=3593, red=110905, ir=86661
time=3603, red=110932, ir=86682
time=3613, red=110924, ir=86700
time=3623, red=110930, ir=86687
time=3633, red=110938, ir=86700
